Datetime (UTC),temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
2023-07-01 00:00:00,10.5,4.3,265,48,0.0,0.0
2023-07-01 01:00:00,10.4,2.5,188,53,0.0,0.0
2023-07-01 02:00:00,8.9,3.1,159,100,0.0,0.0
2023-07-01 03:00:00,9.0,3.4,162,100,0.0,0.0
2023-07-01 04:00:00,9.7,4.0,153,100,9.0,0.0
2023-07-01 05:00:00,11.0,6.4,164,100,47.0,0.0
2023-07-01 06:00:00,12.9,6.5,174,57,108.0,0.0
2023-07-01 07:00:00,16.1,11.3,187,70,377.0,0.0
2023-07-01 08:00:00,17.5,16.3,211,77,486.0,0.0
2023-07-01 09:00:00,19.6,20.6,224,100,469.0,0.0
2023-07-01 10:00:00,20.2,21.4,226,92,631.0,0.0
2023-07-01 11:00:00,19.1,19.1,234,99,501.0,0.0
2023-07-01 12:00:00,19.2,20.8,233,97,301.0,0.1
2023-07-01 13:00:00,18.5,19.2,236,100,298.0,0.1
2023-07-01 14:00:00,16.9,17.8,222,100,159.0,0.0
2023-07-01 15:00:00,17.6,18.9,230,100,125.0,0.6
2023-07-01 16:00:00,17.0,17.1,235,100,150.0,0.2
2023-07-01 17:00:00,16.5,13.2,235,100,74.0,0.0
2023-07-01 18:00:00,16.1,12.5,213,100,46.0,0.0
2023-07-01 19:00:00,16.1,13.5,222,100,10.0,0.0
2023-07-01 20:00:00,15.9,12.7,227,97,1.0,0.1
2023-07-01 21:00:00,15.8,12.6,243,100,0.0,0.0
2023-07-01 22:00:00,15.7,11.1,245,100,0.0,0.0
2023-07-01 23:00:00,15.4,11.3,253,100,0.0,0.0
2023-07-02 00:00:00,15.4,12.5,258,100,0.0,0.0
2023-07-02 01:00:00,14.9,9.8,264,99,0.0,0.0
2023-07-02 02:00:00,14.4,12.6,268,88,0.0,0.0
2023-07-02 03:00:00,14.4,10.8,266,97,0.0,0.0
2023-07-02 04:00:00,13.9,8.4,250,91,12.0,0.0
2023-07-02 05:00:00,14.4,10.8,240,73,92.0,0.0
2023-07-02 06:00:00,15.1,13.7,252,71,211.0,0.0
2023-07-02 07:00:00,15.2,15.7,250,65,222.0,0.0
2023-07-02 08:00:00,16.5,18.4,259,92,380.0,0.0
2023-07-02 09:00:00,17.4,18.6,260,88,455.0,0.0
2023-07-02 10:00:00,18.1,18.5,263,87,513.0,0.0
2023-07-02 11:00:00,18.9,20.8,261,100,538.0,0.0
