Datetime (UTC),actual_price,predicted_price,actual_P,predicted_P
2023-09-18 06:00:00,121.28,130.5855,36.78,45.18
2023-09-18 07:00:00,105.42,114.31111,71.63,84.68
2023-09-18 08:00:00,91.32,101.201805,119.81,109.23
2023-09-18 09:00:00,77.03,81.775986,165.83,122.79
2023-09-18 10:00:00,67.02,66.66585,216.48,136.69
2023-09-18 11:00:00,49.98,60.61549,171.85,127.97
2023-09-18 12:00:00,54.73,49.4774,108.66,124.98
2023-09-18 13:00:00,73.75,59.325768,95.27,111.79
2023-09-18 14:00:00,91.31,78.635574,46.35,79.52
2023-09-18 15:00:00,113.54,105.64874,30.78,51.63
2023-09-18 16:00:00,132.55,135.41571,17.49,21.48
2023-09-18 17:00:00,157.16,143.31425,0.0,0.0
2023-09-18 18:00:00,131.51,146.72226,0.0,0.0
2023-09-18 19:00:00,109.78,124.283966,0.0,0.0
2023-09-18 20:00:00,94.91,106.40784,0.0,0.0
2023-09-18 21:00:00,80.35,89.990555,0.0,0.0
2023-09-18 22:00:00,25.84,72.6564,0.0,0.0
2023-09-18 23:00:00,21.05,27.68503,0.0,0.0
2023-09-19 00:00:00,16.18,26.502481,0.0,0.0
2023-09-19 01:00:00,15.12,27.039932,0.0,0.0
2023-09-19 02:00:00,15.27,28.521677,0.0,0.0
2023-09-19 03:00:00,24.09,32.97026,0.0,0.0
2023-09-19 04:00:00,76.31,40.337185,0.0,0.0
2023-09-19 05:00:00,102.7,98.065926,9.61,7.87
2023-09-19 06:00:00,102.89,113.3,55.29,36.78
2023-09-19 07:00:00,81.72,103.614136,110.92,71.63
2023-09-19 08:00:00,26.9,79.41612,150.78,119.81
2023-09-19 09:00:00,12.52,32.11267,185.13,165.83
2023-09-19 10:00:00,-0.52,15.422883,183.45,216.48
2023-09-19 11:00:00,-0.85,1.1510376,166.79,171.85
2023-09-19 12:00:00,-1.91,5.782387,138.92,108.66
2023-09-19 13:00:00,2.65,11.920518,120.37,95.27
2023-09-19 14:00:00,12.02,27.500692,91.91,46.35
2023-09-19 15:00:00,56.46,49.099396,63.25,30.78
2023-09-19 16:00:00,96.84,86.4557,23.9,17.49
2023-09-19 17:00:00,112.01,118.4137,0.0,0.0
2023-09-19 18:00:00,103.84,123.05616,0.0,0.0
2023-09-19 19:00:00,85.12,107.939995,0.0,0.0
2023-09-19 20:00:00,67.37,81.51013,0.0,0.0
2023-09-19 21:00:00,26.72,59.499775,0.0,0.0
2023-09-19 22:00:00,9.11,32.030876,0.0,0.0
2023-09-19 23:00:00,6.92,8.969633,0.0,0.0
2023-09-20 00:00:00,4.71,8.894107,0.0,0.0
