time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,0.0,13.41,6.41,0.0
20230101:0130,0.0,0.0,0.0,0.0,0.0,13.28,6.21,0.0
20230101:0230,0.0,0.0,0.0,0.0,0.0,13.05,6.0,0.0
20230101:0330,0.0,0.0,0.0,0.0,0.0,12.64,6.0,0.0
20230101:0430,0.0,0.0,0.0,0.0,0.0,12.32,6.21,0.0
20230101:0530,0.0,0.0,0.0,0.0,0.0,12.21,6.28,0.0
20230101:0630,0.0,0.0,0.0,0.0,0.0,11.84,6.0,0.0
20230101:0730,0.0,0.0,5.13,0.08,0.13,11.62,5.79,0.0
20230101:0830,17.35,0.0,33.26,0.5,6.8,11.55,5.72,0.0
20230101:0930,39.63,0.0,61.44,0.92,11.87,12.1,5.66,0.0
20230101:1030,44.45,0.0,67.41,1.01,14.96,12.74,5.59,0.0
20230101:1130,37.26,0.0,58.76,0.88,15.8,12.95,5.45,0.0
20230101:1230,55.88,0.0,81.01,1.22,14.31,12.67,5.03,0.0
20230101:1330,48.6,0.0,72.4,1.09,10.63,12.71,4.83,0.0
20230101:1430,15.28,0.0,30.58,0.46,5.08,12.55,4.55,0.0
20230101:1530,0.0,0.0,0.0,0.0,-1.97,11.96,4.07,0.0
20230101:1630,0.0,0.0,0.0,0.0,0.0,11.27,3.59,0.0
20230101:1730,0.0,0.0,0.0,0.0,0.0,11.02,3.17,0.0
20230101:1830,0.0,0.0,0.0,0.0,0.0,10.98,2.97,0.0
20230101:1930,0.0,0.0,0.0,0.0,0.0,11.09,2.48,0.0
20230101:2030,0.0,0.0,0.0,0.0,0.0,10.83,2.55,0.0
20230101:2130,0.0,0.0,0.0,0.0,0.0,10.24,2.9,0.0
20230101:2230,0.0,0.0,0.0,0.0,0.0,10.65,3.52,0.0
20230101:2330,0.0,0.0,0.0,0.0,0.0,11.54,4.34,0.0
20230102:0030,0.0,0.0,0.0,0.0,0.0,12.09,4.76,0.0
20230102:0130,0.0,0.0,0.0,0.0,0.0,12.08,4.55,0.0
20230102:0230,0.0,0.0,0.0,0.0,0.0,11.69,4.34,0.0
