,Unnamed: 0,temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation,Price (EUR/MWhe),P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Datetime (UTC),hour,day_of_week,month,is_weekend,price_lag_1h,price_lag_24h,price_lag_168h,P_lag_1h,P_lag_24h
3,171,14.8,5.4,70,0,0.0,0.0,83.71,1.83,0.0,9.84,0.14,1.35,14.49,1.86,2023-07-08 03:00:00,3,5,7,1,83.92,102.91,80.18,0.0,1.33
4,172,14.4,4.5,76,100,12.0,0.0,84.95,105.68,78.74,67.01,1.27,9.5,14.08,1.66,2023-07-08 04:00:00,4,5,7,1,83.71,132.99,76.74,1.83,139.78
5,173,15.6,2.7,67,0,91.0,0.0,87.11,197.97,144.84,110.83,2.99,18.4,15.64,1.24,2023-07-08 05:00:00,5,5,7,1,84.95,132.07,77.02,105.68,231.63
6,174,18.4,4.9,126,0,234.0,0.0,85.98,286.96,271.06,97.05,5.3,27.7,19.13,1.17,2023-07-08 06:00:00,6,5,7,1,87.11,116.87,68.84,197.97,295.58
7,175,21.0,5.8,120,100,375.0,0.0,79.52,325.95,312.12,106.55,7.09,37.07,21.93,1.17,2023-07-08 07:00:00,7,5,7,1,85.98,101.46,59.82,286.96,347.27
8,176,23.0,6.3,121,93,435.0,0.0,66.59,367.61,367.59,106.88,9.01,46.05,24.32,1.24,2023-07-08 08:00:00,8,5,7,1,79.52,90.31,41.66,325.95,383.95
9,177,25.6,7.5,125,29,604.0,0.0,52.17,390.68,412.76,95.46,10.44,53.93,26.44,1.17,2023-07-08 09:00:00,9,5,7,1,66.59,85.71,25.46,367.61,409.77
10,178,28.3,10.2,141,0,788.0,0.0,24.51,401.45,421.97,103.08,11.2,59.53,27.96,1.24,2023-07-08 10:00:00,10,5,7,1,52.17,80.06,14.09,390.68,419.57
11,179,29.7,14.8,166,0,857.0,0.0,10.95,405.84,428.18,102.46,11.48,61.29,28.79,1.66,2023-07-08 11:00:00,11,5,7,1,24.51,71.54,6.33,401.45,421.73
12,180,29.8,12.4,150,61,870.0,0.0,10.47,386.76,374.84,131.26,10.59,58.52,29.32,1.93,2023-07-08 12:00:00,12,5,7,1,10.95,69.61,3.35,405.84,409.31
13,181,30.3,13.1,148,51,772.0,0.0,26.87,357.82,356.5,114.13,9.53,52.25,29.68,1.79,2023-07-08 13:00:00,13,5,7,1,10.47,71.43,7.16,386.76,362.9
14,182,30.6,15.0,169,30,736.0,0.0,63.1,338.68,351.25,98.21,8.55,44.03,29.91,1.59,2023-07-08 14:00:00,14,5,7,1,26.87,83.44,12.15,357.82,351.04
15,183,30.4,7.7,127,45,559.0,0.0,83.42,289.9,290.28,99.2,6.57,34.91,30.08,1.38,2023-07-08 15:00:00,15,5,7,1,63.1,94.92,50.32,338.68,299.52
16,184,30.2,8.3,124,42,512.0,0.0,102.46,230.25,218.33,97.29,4.47,25.52,29.99,0.97,2023-07-08 16:00:00,16,5,7,1,83.42,117.29,73.47,289.9,256.48
17,185,29.3,7.0,102,65,356.0,0.0,118.97,157.53,149.65,74.96,2.47,16.28,29.74,0.48,2023-07-08 17:00:00,17,5,7,1,102.46,143.37,88.49,230.25,183.22
18,186,27.7,4.4,55,37,199.0,0.0,129.89,70.74,71.0,40.8,0.83,7.53,27.87,1.03,2023-07-08 18:00:00,18,5,7,1,118.97,166.8,94.4,157.53,93.39
27,195,16.1,1.8,180,55,0.0,0.0,93.68,0.84,0.0,7.79,0.11,1.24,17.98,1.31,2023-07-09 03:00:00,3,6,7,1,91.49,83.71,5.79,0.0,1.83
28,196,16.0,1.5,166,0,11.0,0.0,89.25,127.14,121.87,55.55,1.34,9.39,18.73,1.1,2023-07-09 04:00:00,4,6,7,1,93.68,84.95,3.6,0.84,105.68
29,197,17.5,1.6,207,48,91.0,0.0,90.26,213.66,205.99,77.35,3.18,18.28,19.89,0.62,2023-07-09 05:00:00,5,6,7,1,89.25,87.11,-2.65,127.14,197.97
30,198,19.4,3.6,143,38,224.0,0.0,86.47,259.86,244.3,97.23,4.92,27.59,22.53,0.41,2023-07-09 06:00:00,6,6,7,1,90.26,85.98,-7.18,213.66,286.96
31,199,22.4,4.3,138,32,376.0,0.0,80.86,309.1,308.04,97.54,6.89,36.96,24.98,0.55,2023-07-09 07:00:00,7,6,7,1,86.47,79.52,-25.45,259.86,325.95
32,200,25.0,4.6,162,24,527.0,0.0,61.25,355.65,366.38,101.39,8.91,45.94,27.1,0.76,2023-07-09 08:00:00,8,6,7,1,80.86,66.59,-42.18,309.1,367.61
33,201,27.4,3.3,174,0,668.0,0.0,40.95,380.46,403.61,99.3,10.32,53.81,28.86,0.83,2023-07-09 09:00:00,9,6,7,1,61.25,52.17,-81.76,355.65,390.68
34,202,29.9,6.2,173,0,775.0,0.0,30.34,365.67,376.34,107.91,10.23,59.41,30.14,0.9,2023-07-09 10:00:00,10,6,7,1,40.95,24.51,-138.69,380.46,401.45
35,203,32.0,7.6,172,0,844.0,0.0,18.51,346.46,344.09,115.69,9.73,61.18,30.87,0.9,2023-07-09 11:00:00,11,6,7,1,30.34,10.95,-196.7,365.67,405.84
36,204,32.4,5.1,231,35,781.0,0.0,22.17,339.25,321.61,130.79,9.35,58.42,31.23,0.76,2023-07-09 12:00:00,12,6,7,1,18.51,10.47,-316.4,346.46,386.76
37,205,32.9,4.0,275,30,742.0,0.0,37.3,314.52,284.73,135.74,8.28,52.17,31.59,0.97,2023-07-09 13:00:00,13,6,7,1,22.17,26.87,-260.97,339.25,357.82
