y_true,y_pred
102.89,78.37402
81.72,73.26326
26.900002,66.17019
12.5199995,56.26352
-0.5200013,37.63454
-0.8499955,18.923649
-1.9100007,6.7789335
2.6499968,8.432384
12.0199995,24.983814
56.460003,54.200146
96.84,87.82966
112.01,110.03994
103.840004,111.193306
85.12,99.385254
67.37,86.451416
26.720001,74.83215
9.110003,61.94201
6.920001,44.19883
4.710002,28.165714
4.6400023,16.916645
5.659999,16.529675
16.210003,27.725086
86.03,42.525772
98.2,53.349087
100.28,60.21297
81.11,59.303772
21.439999,53.27075
6.089999,41.118195
-1.0499924,22.070179
-1.499997,5.5405836
-1.3200043,-2.5105715
4.0099974,1.8377334
15.109996,21.34335
88.69,52.126743
127.87,89.116104
182.28,122.76369
126.46,131.4788
99.12,124.67291
83.82,108.62516
68.55,95.59192
68.88,83.456566
64.200005,71.5594
55.06,62.14359
45.55,57.335697
55.21,61.740906
72.16,70.9389
103.33,77.719055
119.47,80.08897
119.4,77.66286
111.08,72.74486
92.18,67.37126
83.97,59.643726
77.75,51.092934
75.51,44.595966
80.86,44.82772
92.51,56.307396
105.68,76.4192
125.52,99.08467
179.28,125.54303
238.23,136.92159
163.84,133.056
124.549995,124.26574
102.92,116.12693
95.14,108.89734
88.74,98.50549
86.32,91.81172
84.73,87.297485
84.16,86.46592
86.77,92.55272
91.9,108.85612
117.72,129.14525
142.20999,140.61232
131.93,131.77399
117.92,115.89519
100.93,105.25815
90.22,98.154
84.45,91.23081
75.13,84.07158
75.37,78.73682
80.840004,79.53226
89.06,87.184845
107.0,102.12857
142.56,124.55712
169.29001,143.43013
137.52,141.70285
114.35,123.45607
103.79,108.39574
99.62,99.05171
106.02,91.52486
100.21,85.176834
96.13,80.82886
93.21,78.125046
91.22,79.56745
93.28,87.08146
99.94,99.10729
110.12,108.06943
109.51,106.03095
102.340004,95.07371
86.16,83.72794
78.17,73.807884
65.85,64.62493
53.2,54.341976
43.670002,46.70951
63.539997,45.847286
77.23,53.581562
96.4,73.87173
126.26,99.02722
150.59,119.78231
137.59,124.19858
117.48,115.449776
105.71,105.673706
100.3,98.77254
98.49,93.130066
91.69,89.63102
84.96,87.180214
84.02,85.430336
87.06,85.03199
90.92,87.28848
95.48,92.01568
96.340004,95.51371
91.2,95.33599
64.47,90.05278
22.080006,81.005516
4.430003,68.206406
-0.1500062,50.005417
-1.590001,31.464523
-1.6300019,17.91988
2.1400023,11.863086
20.610004,16.58842
95.76,29.98396
126.77,49.77489
147.1,76.75759
133.75,95.71943
111.52,100.3865
91.5,96.631836
72.52,91.50831
46.05,85.834526
29.170002,78.6417
24.189999,67.18928
22.59,52.326157
23.859997,43.556683
63.89,44.937855
115.07,52.707172
136.55,63.9061
132.16,73.10321
105.56,76.29183
85.83,73.850494
76.51,65.0192
67.39,53.044495
62.21,41.982143
65.62,37.95324
83.88,44.470978
91.5,62.39621
125.46,89.13434
187.62999,123.83597
316.55,144.08214
243.45,141.54324
149.15,131.67638
117.42,125.38791
108.1,118.967224
113.67,111.26914
107.89,101.98325
105.16,95.919876
104.87,94.79811
104.96,102.88451
111.48,117.85788
155.51,139.1699
266.32,158.59998
172.54001,153.81616
125.72,135.67818
105.88,120.16774
97.05,109.10505
92.62,100.5678
85.55,94.6808
90.37,93.04842
99.01,96.757904
106.33,109.239105
140.11,128.29861
187.58,158.07286
268.13,181.93237
181.70999,170.50911
131.39,142.76607
113.799995,122.462944
102.48,111.75228
108.25,103.46608
104.46,96.798454
103.94,92.9307
102.86,91.882744
103.31,99.015785
111.81,114.245476
146.53,133.91142
270.96002,150.64233
178.7,144.30945
133.29,127.767365
110.67,115.99841
99.5,107.553406
95.18,99.58726
92.88,93.99736
93.51,93.336494
97.56,100.611694
111.409996,113.430534
147.95999,131.25175
192.72,163.63445
231.07,194.32188
149.51,185.24718
113.02,149.33992
100.65,121.630455
91.44,108.17225
84.98,99.54424
80.6,93.03647
71.23,86.405266
73.840004,80.35072
78.47,80.07844
89.77,90.28978
113.79,107.90038
132.15,122.85939
131.67,121.70901
112.17,105.69435
95.46,95.51701
88.64,89.83639
82.51,83.97276
79.9,78.87216
84.56,76.77948
91.14,80.159584
103.1,93.08644
131.75,115.79595
182.14,149.60774
253.04001,170.93813
170.76001,157.06229
131.38,132.70334
116.33,118.004814
108.28,110.06779
106.25,104.46256
99.52,100.25548
96.32,97.73904
93.46,97.49484
94.77,105.30942
102.48,120.85871
128.79,137.33319
142.19,144.20503
130.52,135.38869
109.55,120.03903
95.24,108.9478
89.68,100.888084
82.23,94.29745
75.37,89.781784
78.03,86.28045
85.78,86.85355
94.76,96.138695
112.27,113.81358
133.84,139.28229
146.55,151.86829
133.13,138.60425
113.4,115.42955
105.54,102.249214
98.7,94.216995
94.99,87.07289
90.72,81.621376
89.01,76.789856
87.32,72.6446
87.5,73.6419
90.7,81.12498
97.7,90.76658
104.72,95.809105
105.56,92.27867
100.22,85.028496
84.16,78.628654
73.42,72.95096
44.86,66.28224
18.329998,59.408756
24.259998,51.16832
56.84,42.414185
85.54,42.79497
108.4,57.522934
139.7,84.16126
162.54,108.99521
140.72,120.12767
119.7,115.672455
109.23,107.78211
101.66,102.225845
97.7,98.428345
89.43,95.328636
