Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-07-01 00:00:00,2022-07-01 02:00:00,259.99
Germany,DEU,2022-07-01 01:00:00,2022-07-01 03:00:00,259.62
Germany,DEU,2022-07-01 02:00:00,2022-07-01 04:00:00,259.64
Germany,DEU,2022-07-01 03:00:00,2022-07-01 05:00:00,270.5
Germany,DEU,2022-07-01 04:00:00,2022-07-01 06:00:00,339.78
Germany,DEU,2022-07-01 05:00:00,2022-07-01 07:00:00,378.23
Germany,DEU,2022-07-01 06:00:00,2022-07-01 08:00:00,385.02
Germany,DEU,2022-07-01 07:00:00,2022-07-01 09:00:00,374.35
Germany,DEU,2022-07-01 08:00:00,2022-07-01 10:00:00,356.36
Germany,DEU,2022-07-01 09:00:00,2022-07-01 11:00:00,344.89
Germany,DEU,2022-07-01 10:00:00,2022-07-01 12:00:00,314.0
Germany,DEU,2022-07-01 11:00:00,2022-07-01 13:00:00,290.59
Germany,DEU,2022-07-01 12:00:00,2022-07-01 14:00:00,267.86
Germany,DEU,2022-07-01 13:00:00,2022-07-01 15:00:00,262.83
Germany,DEU,2022-07-01 14:00:00,2022-07-01 16:00:00,240.16
Germany,DEU,2022-07-01 15:00:00,2022-07-01 17:00:00,282.12
Germany,DEU,2022-07-01 16:00:00,2022-07-01 18:00:00,300.83
Germany,DEU,2022-07-01 17:00:00,2022-07-01 19:00:00,344.22
Germany,DEU,2022-07-01 18:00:00,2022-07-01 20:00:00,374.38
Germany,DEU,2022-07-01 19:00:00,2022-07-01 21:00:00,360.68
Germany,DEU,2022-07-01 20:00:00,2022-07-01 22:00:00,367.31
Germany,DEU,2022-07-01 21:00:00,2022-07-01 23:00:00,327.51
Germany,DEU,2022-07-01 22:00:00,2022-07-02 00:00:00,302.92
Germany,DEU,2022-07-01 23:00:00,2022-07-02 01:00:00,272.87
Germany,DEU,2022-07-02 00:00:00,2022-07-02 02:00:00,257.94
Germany,DEU,2022-07-02 01:00:00,2022-07-02 03:00:00,250.54
Germany,DEU,2022-07-02 02:00:00,2022-07-02 04:00:00,244.82
Germany,DEU,2022-07-02 03:00:00,2022-07-02 05:00:00,243.05
