Datetime (UTC),u10,v10,t2m,tcc,tp,ssrd,Country,Price (EUR/MWhe),P,G(i),H_sun,T2m,WS10m
2022-07-01 01:00:00,2.6699982,-0.49067688,18.401154,1.0,0.00017356873,0.0,Germany,259.62,0.0,0.0,0.0,19.24,3.72
2022-07-01 02:00:00,5.8435516,0.32269287,16.314117,1.0,0.00024175644,0.0,Germany,259.64,0.0,0.0,0.0,17.75,3.59
2022-07-01 03:00:00,4.419983,-1.0930023,14.973541,1.0,0.0,0.0,Germany,270.5,0.0,0.0,0.0,16.43,3.03
2022-07-01 04:00:00,1.841629,-2.4878693,14.19632,1.0,0.0,22464.0,Germany,339.78,0.48,7.0,7.16,15.47,2.76
2022-07-01 05:00:00,1.882843,-1.1512146,13.689545,0.99850464,0.00062417984,57600.0,Germany,378.23,6.96,19.0,15.85,14.57,2.55
2022-07-01 06:00:00,2.9690552,0.041870117,13.147736,1.0,0.0013623238,8576.0,Germany,385.02,26.23,46.0,25.08,14.14,2.62
2022-07-01 07:00:00,2.7240753,0.40803528,13.4201355,1.0,0.0,262528.0,Germany,374.35,183.19,233.0,34.5,14.46,2.28
2022-07-01 08:00:00,2.9257965,0.21354675,14.12912,0.9987488,0.0,240384.0,Germany,356.36,124.96,165.0,43.72,14.76,2.62
2022-07-01 09:00:00,3.0974731,-0.022323608,14.870148,0.948761,0.00040769577,0.0,Germany,344.89,95.26,130.0,52.15,14.49,2.48
2022-07-01 10:00:00,2.6405792,1.1549072,13.135834,1.0,0.0009326935,0.0,Germany,314.0,100.57,136.0,58.77,14.13,2.69
2022-07-01 11:00:00,3.1822815,0.44673157,13.189117,0.8244934,0.0,26752.0,Germany,290.59,192.96,244.0,62.01,14.0,2.55
2022-07-01 12:00:00,3.644867,-0.1637268,14.178497,1.0,0.0,474432.0,Germany,267.86,161.25,207.0,60.64,14.39,2.97
2022-07-01 13:00:00,3.8286438,-0.023651123,14.68277,0.9607239,0.0,195776.0,Germany,262.83,141.91,185.0,55.24,15.12,2.97
2022-07-01 14:00:00,3.493332,0.47190857,16.09256,1.0,0.0,885120.0,Germany,240.16,542.47,668.0,47.42,16.69,3.1
2022-07-01 15:00:00,3.4812012,0.6984558,16.717438,0.61224365,0.0,0.0,Germany,282.12,359.09,445.0,38.44,17.48,3.1
2022-07-01 16:00:00,3.870285,0.56533813,17.483429,0.8244934,0.0,0.0,Germany,300.83,266.99,337.0,29.05,18.18,3.31
2022-07-01 17:00:00,3.8578186,0.8789215,17.786163,0.9215088,0.0,0.0,Germany,344.22,173.35,232.0,19.69,18.14,2.83
2022-07-01 18:00:00,2.8647614,1.092865,17.793121,0.7950134,0.0,0.0,Germany,374.38,77.57,129.0,10.74,18.07,2.34
2022-07-01 19:00:00,1.9412384,1.0974731,16.959259,0.2647705,0.0,0.0,Germany,360.68,3.34,13.0,2.51,17.18,1.86
2022-07-01 20:00:00,1.3862152,1.0088196,15.313629,0.020721436,3.6239624e-05,0.0,Germany,367.31,0.0,0.0,0.0,16.37,1.79
2022-07-01 21:00:00,1.1199493,0.9367523,13.48172,0.0262146,3.8146973e-05,0.0,Germany,327.51,0.0,0.0,0.0,15.54,1.66
2022-07-01 22:00:00,0.24172974,1.2322693,13.179352,0.2807312,0.0,0.0,Germany,302.92,0.0,0.0,0.0,14.92,1.45
2022-07-01 23:00:00,0.29084778,1.3272552,12.865997,0.17050171,0.0,0.0,Germany,272.87,0.0,0.0,0.0,14.4,1.31
2022-07-02 00:00:00,0.3156891,1.4680176,11.312042,0.17926025,0.0,0.0,Germany,257.94,0.0,0.0,0.0,13.44,1.24
2022-07-02 01:00:00,1.0400696,1.6453094,10.966522,0.22702026,0.0,0.0,Germany,250.54,0.0,0.0,0.0,12.67,1.31
2022-07-02 02:00:00,1.3482056,1.6779633,10.434845,0.21600342,0.0,0.0,Germany,244.82,0.0,0.0,0.0,11.93,1.38
2022-07-02 03:00:00,1.0980225,1.5479584,10.606842,0.16601562,0.0,0.0,Germany,243.05,0.0,0.0,0.0,11.52,1.24
2022-07-02 04:00:00,0.40756226,1.5903931,10.012421,0.019500732,0.0,53568.0,Germany,239.42,38.09,72.0,7.08,11.28,1.24
2022-07-02 05:00:00,-0.08201599,1.7919769,12.587799,0.0,0.0,325056.0,Germany,246.78,156.26,220.0,15.77,12.94,0.83
2022-07-02 06:00:00,-0.09831238,1.8756714,14.749054,0.0,0.0,500800.0,Germany,232.52,294.36,377.0,25.0,15.89,1.1
2022-07-02 07:00:00,0.15080261,2.1280518,17.056427,0.0,0.0,569280.0,Germany,174.54,433.12,541.0,34.42,16.76,1.52
2022-07-02 08:00:00,0.28356934,2.032364,18.999481,0.0,0.0,563072.0,Germany,126.3,534.27,675.0,43.64,18.5,1.45
2022-07-02 09:00:00,0.46580505,2.1306305,20.379303,0.08898926,0.0,490496.0,Germany,119.84,601.98,772.01,52.07,20.06,1.59
2022-07-02 10:00:00,-0.2111969,2.3790588,21.332916,0.92477417,0.0,369728.0,Germany,85.45,521.2,670.0,58.68,21.18,1.72
2022-07-02 11:00:00,-0.12754822,2.418213,22.228973,0.74105835,0.0,109312.0,Germany,70.44,662.86,867.01,61.93,22.05,1.72
2022-07-02 12:00:00,-0.636261,2.1665344,23.055023,0.0,0.0,174400.0,Germany,81.62,657.7,862.01,60.59,22.9,1.79
2022-07-02 13:00:00,-0.9423523,2.300003,23.918,0.0107421875,0.0,0.0,Germany,89.05,620.02,809.01,55.2,23.53,1.86
2022-07-02 14:00:00,-0.81759644,2.8280182,24.543243,0.09875488,0.0,0.0,Germany,134.25,565.12,731.0,47.39,24.07,2.07
2022-07-02 15:00:00,-1.0033264,3.057724,25.06247,0.46929932,0.0,0.0,Germany,241.72,468.04,602.0,38.42,24.26,2.14
2022-07-02 16:00:00,-1.1886444,2.8912964,25.118134,0.009765625,0.0,0.0,Germany,306.76,339.56,442.0,29.02,24.22,2.07
2022-07-02 17:00:00,-1.2829895,2.603531,24.92923,0.0,0.0,0.0,Germany,362.19,205.97,286.0,19.67,23.89,1.86
2022-07-02 18:00:00,-1.0008392,1.8607941,24.238434,0.0,0.0,0.0,Germany,371.79,80.51,139.0,10.71,23.01,1.31
2022-07-02 19:00:00,-0.8622284,1.5557404,22.10971,0.0,0.0,0.0,Germany,363.48,2.72,12.0,2.48,21.37,1.45
2022-07-02 20:00:00,-1.2365112,2.0645294,19.335175,0.0,0.0,0.0,Germany,361.0,0.0,0.0,0.0,19.25,1.38
2022-07-02 21:00:00,-1.416275,1.9317627,16.95346,0.0,0.0,0.0,Germany,311.48,0.0,0.0,0.0,17.75,1.52
2022-07-02 22:00:00,-1.0245361,2.425827,15.460602,0.0,0.0,0.0,Germany,271.0,0.0,0.0,0.0,16.63,1.52
2022-07-02 23:00:00,-1.1608887,1.8042145,14.219391,0.0,0.0,0.0,Germany,246.84,0.0,0.0,0.0,15.67,1.52
2022-07-03 00:00:00,-1.471344,1.55719,13.488251,0.0,0.0,0.0,Germany,220.91,0.0,0.0,0.0,14.76,1.66
2022-07-03 01:00:00,-1.5248718,1.3648224,12.971161,0.059753418,0.0,0.0,Germany,214.57,0.0,0.0,0.0,14.13,1.79
2022-07-03 02:00:00,-1.197937,1.6755981,12.6527405,0.37802124,0.0,0.0,Germany,206.67,0.0,0.0,0.0,13.78,1.86
2022-07-03 03:00:00,-0.9503937,1.8794708,12.55838,0.71875,0.0,0.0,Germany,200.36,0.0,0.0,0.0,13.56,1.93
2022-07-03 04:00:00,-0.52519226,1.7272186,13.502899,0.52926636,0.0,51776.0,Germany,180.66,37.79,74.0,6.99,13.65,2.0
2022-07-03 05:00:00,-0.81733704,2.096054,15.808075,0.10998535,0.0,323392.0,Germany,183.85,152.87,217.0,15.69,15.21,1.79
2022-07-03 06:00:00,0.04449463,2.2094421,18.153168,0.0,0.0,498880.0,Germany,177.28,287.43,371.0,24.91,18.36,1.79
2022-07-03 07:00:00,1.2139893,2.2118225,20.397491,0.010009766,0.0,550144.0,Germany,156.83,418.61,530.0,34.33,20.43,1.93
2022-07-03 08:00:00,1.6495819,1.7288055,22.957245,0.0,0.0,477248.0,Germany,139.72,526.28,673.0,43.56,22.27,1.93
2022-07-03 09:00:00,2.083969,1.0732574,24.534943,0.0,0.0,505984.0,Germany,107.68,617.48,805.01,51.98,23.83,1.86
2022-07-03 10:00:00,2.1145325,1.2414246,25.481354,0.21047974,0.0,375232.0,Germany,92.82,564.54,735.0,58.6,25.07,2.48
2022-07-03 11:00:00,2.138504,1.9468994,26.13272,0.1000061,0.0,0.0,Germany,75.34,549.84,716.0,61.86,25.68,2.83
2022-07-03 12:00:00,2.2508087,2.50914,27.322296,0.009765625,0.0,206272.0,Germany,74.27,521.43,678.0,60.52,26.35,3.17
2022-07-03 13:00:00,3.1739655,2.4164734,27.965485,0.07849121,0.0,172992.0,Germany,65.57,441.35,572.0,55.16,26.95,3.59
2022-07-03 14:00:00,3.628128,1.8539124,28.011383,0.082733154,0.0,0.0,Germany,101.02,478.19,616.0,47.36,26.76,3.72
2022-07-03 15:00:00,3.5293884,1.7040405,28.245148,0.10348511,0.0,0.0,Germany,181.18,413.26,532.0,38.39,26.5,3.45
2022-07-03 16:00:00,2.8286133,1.1604309,28.100372,0.115234375,0.0,78656.0,Germany,276.71,300.55,393.0,29.0,26.44,3.38
2022-07-03 17:00:00,2.4294434,0.9063568,27.953033,0.31521606,0.0,0.0,Germany,341.8,194.47,271.0,19.64,25.97,3.17
2022-07-03 18:00:00,-0.47180176,-0.3703766,26.832672,0.51101685,0.0,0.0,Germany,351.87,73.52,125.0,10.68,24.7,2.83
2022-07-03 19:00:00,-1.0218048,-1.4099731,24.280914,0.9200134,0.0,0.0,Germany,356.77,1.25,9.0,2.44,23.24,0.9
2022-07-03 20:00:00,1.9161835,-1.2250061,21.552399,0.976532,4.7683716e-06,0.0,Germany,357.2,0.0,0.0,0.0,22.52,0.76
2022-07-03 21:00:00,2.851532,-2.926239,19.685577,0.36849976,0.0,0.0,Germany,333.97,0.0,0.0,0.0,20.66,2.41
2022-07-03 22:00:00,1.0839539,-5.270935,18.936066,0.42526245,0.0,0.0,Germany,305.79,0.0,0.0,0.0,19.21,3.59
2022-07-03 23:00:00,0.2558899,-4.1692963,17.252838,0.40176392,0.0,0.0,Germany,275.19,0.0,0.0,0.0,17.72,3.1
2022-07-04 00:00:00,0.2894287,-3.053711,15.909332,0.03024292,0.0,0.0,Germany,262.36,0.0,0.0,0.0,16.72,2.28
2022-07-04 01:00:00,0.42660522,-1.0723724,14.67984,0.20574951,0.0,0.0,Germany,258.37,0.0,0.0,0.0,15.9,1.93
2022-07-04 02:00:00,1.2919006,-0.5597229,14.402008,0.3704834,3.71933e-05,0.0,Germany,268.34,0.0,0.0,0.0,15.46,1.72
2022-07-04 03:00:00,1.1867218,-1.2453308,14.009613,0.20724487,0.0,0.0,Germany,304.07,0.0,0.0,0.0,14.96,1.59
2022-07-04 04:00:00,0.7620392,-1.2508087,13.668854,0.30551147,0.0,45632.0,Germany,367.6,33.71,64.0,6.9,14.45,1.31
2022-07-04 05:00:00,0.9296112,-1.6070099,14.774139,0.27600098,0.0,282816.0,Germany,393.65,146.35,207.0,15.6,15.04,1.66
2022-07-04 06:00:00,1.1733551,-1.8707275,16.149933,0.0982666,0.0,481024.0,Germany,391.03,286.48,365.0,24.82,15.73,1.86
2022-07-04 07:00:00,1.1161957,-1.145935,17.100128,0.1567688,0.0,589632.0,Germany,372.01,415.16,520.0,34.25,17.23,1.45
2022-07-04 08:00:00,1.2960052,-0.73384094,18.154144,0.17599487,0.0,510848.0,Germany,323.24,520.85,656.0,43.47,18.38,1.59
2022-07-04 09:00:00,1.8909149,-0.8608856,19.132965,0.15124512,0.0,484544.0,Germany,269.94,599.41,760.01,51.89,19.57,2.21
2022-07-04 10:00:00,1.7153778,-0.57785034,20.161652,0.13876343,0.0,392192.0,Germany,232.88,667.14,859.01,58.51,20.47,2.07
2022-07-04 11:00:00,2.1799927,-0.9580231,21.114777,0.49301147,0.0,210624.0,Germany,212.82,652.51,845.01,61.77,21.22,2.0
2022-07-04 12:00:00,2.2836304,-0.8097229,22.090118,0.741272,0.0,53376.0,Germany,205.89,674.16,874.01,60.45,22.03,2.28
2022-07-04 13:00:00,2.313095,-1.1329346,22.936798,0.8735657,0.0,0.0,Germany,202.93,616.67,794.01,55.1,22.52,2.41
2022-07-04 14:00:00,2.0298157,-0.5812073,23.025787,0.9540405,0.0,0.0,Germany,217.17,560.85,717.0,47.32,22.47,2.34
2022-07-04 15:00:00,2.1013489,-1.121048,23.735504,0.56552124,0.0,107008.0,Germany,255.25,472.46,603.0,38.36,22.83,2.21
2022-07-04 16:00:00,2.5154572,-1.3609467,23.893463,0.93756104,0.0,0.0,Germany,332.0,338.68,438.0,28.97,22.86,2.07
2022-07-04 17:00:00,2.0777588,-2.1250763,23.812897,0.8044739,0.0,0.0,Germany,390.68,201.03,277.0,19.61,22.7,2.07
2022-07-04 18:00:00,1.4249268,-2.0761871,22.8909,0.97750854,0.0,0.0,Germany,417.0,76.99,131.0,10.64,22.02,1.86
2022-07-04 19:00:00,0.54566956,-2.4060516,20.856354,0.57598877,0.0,0.0,Germany,395.54,2.74,12.0,2.39,20.78,2.28
2022-07-04 20:00:00,0.23103333,-1.9046173,18.688507,0.06399536,0.0,0.0,Germany,403.28,0.0,0.0,0.0,19.27,2.14
2022-07-04 21:00:00,0.29908752,-1.6244507,16.985016,0.1642456,0.0,0.0,Germany,365.87,0.0,0.0,0.0,17.92,1.79
2022-07-04 22:00:00,0.46450806,-1.6706543,14.243439,0.054229736,0.0,0.0,Germany,346.89,0.0,0.0,0.0,16.43,1.52
2022-07-04 23:00:00,1.4022064,-1.3206329,14.159943,0.011260986,0.0,0.0,Germany,313.51,0.0,0.0,0.0,15.66,1.24
2022-07-05 00:00:00,1.4591675,-0.08074951,16.012604,0.009765625,0.0,0.0,Germany,299.24,0.0,0.0,0.0,16.09,0.9
2022-07-05 01:00:00,1.5366974,-1.115799,14.920929,0.010009766,0.0,0.0,Germany,292.88,0.0,0.0,0.0,15.87,0.9
2022-07-05 02:00:00,1.4645233,-1.100357,13.594635,0.010009766,0.0,0.0,Germany,292.45,0.0,0.0,0.0,14.42,1.1
2022-07-05 03:00:00,1.0030823,-0.6545563,13.572296,0.070251465,0.0,0.0,Germany,321.99,0.0,0.0,0.0,14.03,1.1
2022-07-05 04:00:00,0.8390045,-0.29948425,12.85965,0.07949829,0.0,46016.0,Germany,379.03,33.75,66.0,6.81,14.74,0.83
2022-07-05 05:00:00,0.66586304,-0.13130188,13.333405,0.101745605,0.0,316672.0,Germany,406.41,144.99,207.0,15.5,15.24,0.48
2022-07-05 06:00:00,0.31498718,-0.5132904,15.994293,0.30273438,0.0,443712.0,Germany,401.26,280.35,363.0,24.73,17.39,0.76
2022-07-05 07:00:00,0.44532776,-0.86312866,18.44986,0.99850464,0.0,280768.0,Germany,349.38,403.47,514.0,34.15,18.67,0.55
2022-07-05 08:00:00,0.7787781,-1.0117188,20.008331,0.81326294,2.2411346e-05,341120.0,Germany,290.82,484.85,618.0,43.37,19.83,1.1
2022-07-05 09:00:00,1.4643097,-1.010849,20.612457,0.3982544,2.5749207e-05,287872.0,Germany,271.3,495.43,630.0,51.79,20.57,2.0
2022-07-05 10:00:00,1.1636658,-0.7608795,21.04422,0.6345215,0.0,210688.0,Germany,239.77,583.46,746.0,58.41,20.98,2.34
2022-07-05 11:00:00,2.3748322,-0.33477783,21.46109,0.66326904,1.0967255e-05,0.0,Germany,223.01,634.83,813.01,61.68,21.17,2.69
2022-07-05 12:00:00,3.0906067,0.00881958,21.72049,0.79299927,0.0,118784.0,Germany,211.02,465.96,593.0,60.38,21.33,2.62
2022-07-05 13:00:00,3.7019348,-0.50009155,22.341827,0.99502563,0.0,140352.0,Germany,212.87,569.1,726.0,55.05,21.52,2.55
2022-07-05 14:00:00,3.6129456,-1.3088074,23.410797,0.6539917,6.67572e-06,232000.0,Germany,236.4,487.69,619.0,47.27,21.93,2.62
2022-07-05 15:00:00,2.933075,-2.0398102,23.18863,0.3927307,0.0,0.0,Germany,291.41,408.33,516.0,38.32,21.92,2.97
2022-07-05 16:00:00,2.184906,-2.5705109,22.76358,0.2312622,9.536743e-06,0.0,Germany,338.61,262.4,337.0,28.93,21.6,3.17
2022-07-05 17:00:00,1.7724915,-2.8233032,22.087677,0.261261,0.0,0.0,Germany,377.55,194.91,265.0,19.57,21.01,3.17
2022-07-05 18:00:00,1.3602142,-2.526657,21.17508,0.21099854,0.0,0.0,Germany,391.09,71.56,118.0,10.6,20.21,2.9
2022-07-05 19:00:00,1.3385162,-2.3863068,19.905914,0.23150635,0.0,0.0,Germany,379.4,2.76,12.0,2.34,19.74,2.34
2022-07-05 20:00:00,1.3677521,-2.301117,17.937653,0.42251587,0.0,0.0,Germany,378.65,0.0,0.0,0.0,18.58,2.14
2022-07-05 21:00:00,0.9217987,-2.1367798,16.643219,0.1949768,0.0,0.0,Germany,353.08,0.0,0.0,0.0,17.45,2.0
2022-07-05 22:00:00,0.6889801,-2.5003204,15.664581,0.36898804,0.0,0.0,Germany,345.89,0.0,0.0,0.0,16.69,1.79
2022-07-05 23:00:00,0.6070099,-2.133667,14.105621,0.24627686,0.0,0.0,Germany,315.24,0.0,0.0,0.0,15.7,1.66
2022-07-06 00:00:00,0.8549957,-1.6865997,12.875397,0.2170105,0.0,0.0,Germany,299.35,0.0,0.0,0.0,14.63,1.66
2022-07-06 01:00:00,0.9586334,-1.4291382,12.149689,0.4250183,0.0,0.0,Germany,289.06,0.0,0.0,0.0,13.77,1.66
2022-07-06 02:00:00,1.211441,-1.6290588,12.41684,0.5415039,0.0,0.0,Germany,297.86,0.0,0.0,0.0,13.18,1.72
2022-07-06 03:00:00,1.1208496,-1.9493256,11.987762,0.63427734,0.0,0.0,Germany,325.11,0.0,0.0,0.0,12.67,1.79
2022-07-06 04:00:00,1.0883484,-2.118332,12.372406,0.85998535,6.67572e-06,32512.0,Germany,384.45,27.47,51.0,6.71,13.05,1.86
2022-07-06 05:00:00,1.0814362,-2.402771,13.04184,0.6527405,1.001358e-05,197376.0,Germany,414.3,39.67,63.0,15.4,13.76,2.34
2022-07-06 06:00:00,1.3397217,-2.4680634,13.633453,0.91378784,1.9073486e-06,151040.0,Germany,402.26,243.37,307.0,24.63,14.06,2.48
2022-07-06 07:00:00,1.7259674,-2.1592102,14.563263,0.83151245,8.106232e-06,532160.0,Germany,351.41,304.69,377.0,34.05,15.06,2.48
2022-07-06 08:00:00,2.1686096,-1.7272949,14.8750305,0.7380066,0.0,0.0,Germany,295.4,380.66,469.0,43.27,15.47,2.55
2022-07-06 09:00:00,2.4484253,-1.6959839,15.590973,0.9152832,0.0,463168.0,Germany,272.47,454.89,562.0,51.69,16.02,2.69
2022-07-06 10:00:00,2.170456,-1.1091766,16.461334,0.9472656,0.0,266048.0,Germany,236.64,507.44,631.0,58.3,16.68,2.69
2022-07-06 11:00:00,2.7689667,-1.2906189,17.265045,0.9989929,0.0,522048.0,Germany,210.61,547.24,684.0,61.58,17.47,2.83
2022-07-06 12:00:00,2.6839447,-1.3172607,17.669098,0.9972534,0.0,0.0,Germany,183.19,582.46,730.0,60.3,17.98,2.9
2022-07-06 13:00:00,2.7096863,-1.1599884,18.423126,0.9987488,0.0,0.0,Germany,178.04,528.63,660.0,54.98,18.33,3.03
2022-07-06 14:00:00,3.331314,-1.3692932,18.750397,0.9989929,0.0,0.0,Germany,195.04,491.58,611.0,47.22,18.41,3.1
2022-07-06 15:00:00,2.8169098,-1.4441528,18.69571,0.9989929,0.0,0.0,Germany,242.6,424.67,528.0,38.27,18.31,2.76
