Datetime (UTC),P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,13.41,6.41
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,13.28,6.21
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,13.05,6.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,12.64,6.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,12.32,6.21
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,12.21,6.28
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,11.84,6.0
2023-01-01 07:00:00,0.0,0.0,5.13,0.08,0.13,11.62,5.79
2023-01-01 08:00:00,17.35,0.0,33.26,0.5,6.8,11.55,5.72
2023-01-01 09:00:00,39.63,0.0,61.44,0.92,11.87,12.1,5.66
2023-01-01 10:00:00,44.45,0.0,67.41,1.01,14.96,12.74,5.59
2023-01-01 11:00:00,37.26,0.0,58.76,0.88,15.8,12.95,5.45
2023-01-01 12:00:00,55.88,0.0,81.01,1.22,14.31,12.67,5.03
2023-01-01 13:00:00,48.6,0.0,72.4,1.09,10.63,12.71,4.83
2023-01-01 14:00:00,15.28,0.0,30.58,0.46,5.08,12.55,4.55
2023-01-01 15:00:00,0.0,0.0,0.0,0.0,-1.97,11.96,4.07
2023-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,11.27,3.59
2023-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,11.02,3.17
2023-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,10.98,2.97
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,11.09,2.48
2023-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,10.83,2.55
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,10.24,2.9
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,10.65,3.52
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,11.54,4.34
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,12.09,4.76
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,12.08,4.55
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,11.69,4.34
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,11.52,4.55
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,11.37,4.34
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,10.94,4.21
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,10.73,4.28
2023-01-02 07:00:00,0.03,0.0,5.66,0.09,0.14,11.55,4.34
2023-01-02 08:00:00,20.92,0.0,37.94,0.57,6.83,11.29,4.34
2023-01-02 09:00:00,41.5,0.0,63.62,0.96,11.92,11.73,4.9
2023-01-02 10:00:00,55.9,0.0,80.74,1.21,15.03,11.81,5.38
2023-01-02 11:00:00,51.51,0.0,75.43,1.13,15.89,11.37,5.38
2023-01-02 12:00:00,50.86,0.0,74.63,1.12,14.42,11.23,5.31
2023-01-02 13:00:00,38.25,0.0,59.61,0.9,10.75,11.39,5.17
2023-01-02 14:00:00,10.7,0.0,24.03,0.36,5.2,11.12,4.9
2023-01-02 15:00:00,0.0,0.0,0.0,0.0,-1.84,10.52,4.62
2023-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,9.93,4.21
2023-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,9.56,3.93
2023-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,9.15,3.66
2023-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,8.95,3.79
2023-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,8.61,3.86
2023-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,8.18,4.0
2023-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,7.49,3.79
2023-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,6.79,3.66
2023-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,6.49,3.59
2023-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,6.37,3.52
2023-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,6.27,3.31
2023-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,6.08,3.24
2023-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,5.96,3.31
2023-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,5.75,3.24
2023-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,5.61,3.24
2023-01-03 07:00:00,0.0,0.0,4.1,0.06,0.17,5.6,2.97
2023-01-03 08:00:00,17.05,0.0,32.14,0.48,6.87,5.46,2.9
2023-01-03 09:00:00,38.33,0.0,58.45,0.88,11.98,5.68,3.1
2023-01-03 10:00:00,48.7,0.0,70.66,1.06,15.11,5.93,3.38
2023-01-03 11:00:00,61.97,0.0,86.0,1.29,15.99,6.33,4.07
2023-01-03 12:00:00,63.66,0.0,88.19,1.33,14.53,7.05,3.93
2023-01-03 13:00:00,44.23,0.0,65.8,0.99,10.87,7.36,3.59
2023-01-03 14:00:00,14.64,0.0,29.16,0.44,5.33,7.43,3.1
2023-01-03 15:00:00,0.0,0.0,0.0,0.0,-1.71,7.03,2.83
2023-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,6.53,2.97
2023-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,6.48,3.17
2023-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,6.49,3.24
2023-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,5.84,3.17
2023-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,5.51,3.31
2023-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,5.43,3.45
2023-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,5.53,3.72
2023-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,5.5,4.14
2023-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,5.55,4.41
2023-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,5.5,4.62
2023-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,5.74,5.1
2023-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,5.73,5.24
2023-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,5.63,5.38
2023-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,5.65,5.72
2023-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,5.84,6.0
2023-01-04 07:00:00,0.0,0.0,1.6,0.02,0.2,5.7,6.55
2023-01-04 08:00:00,3.1,0.0,11.9,0.18,6.92,5.89,6.76
2023-01-04 09:00:00,9.98,0.0,22.6,0.34,12.04,6.31,6.76
2023-01-04 10:00:00,19.48,0.0,35.44,0.53,15.19,6.88,7.03
2023-01-04 11:00:00,14.06,0.0,28.35,0.43,16.09,7.4,7.24
2023-01-04 12:00:00,13.67,0.0,27.86,0.42,14.65,7.76,7.03
2023-01-04 13:00:00,2.06,0.0,10.08,0.15,11.0,8.2,7.17
2023-01-04 14:00:00,0.02,0.0,5.57,0.08,5.47,8.49,7.31
2023-01-04 15:00:00,0.0,0.0,0.0,0.0,-1.57,8.8,7.24
2023-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,8.96,7.17
2023-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0,9.11,7.03
2023-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0,9.21,6.9
2023-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0,8.95,6.83
2023-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0,9.23,7.24
2023-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0,9.47,7.52
2023-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0,9.23,7.45
2023-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0,9.02,7.31
2023-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,8.77,6.83
2023-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,8.81,6.34
2023-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,8.45,6.14
2023-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0,8.29,6.0
2023-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0,8.33,6.28
2023-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0,8.43,6.0
2023-01-05 06:00:00,0.0,0.0,0.0,0.0,0.0,8.22,5.79
2023-01-05 07:00:00,0.0,0.0,3.97,0.06,0.24,8.02,6.0
2023-01-05 08:00:00,12.27,0.0,25.95,0.39,6.97,7.83,5.93
2023-01-05 09:00:00,38.12,0.0,58.67,0.88,12.11,8.12,6.34
2023-01-05 10:00:00,41.61,0.0,62.91,0.95,15.29,8.41,5.66
2023-01-05 11:00:00,37.97,0.0,58.67,0.88,16.2,8.77,4.97
2023-01-05 12:00:00,44.53,0.0,66.52,1.0,14.77,8.94,5.03
2023-01-05 13:00:00,22.21,0.0,39.23,0.59,11.14,8.83,5.59
2023-01-05 14:00:00,6.04,0.0,16.9,0.25,5.61,8.65,5.1
2023-01-05 15:00:00,0.0,0.0,0.0,0.0,-1.42,8.33,4.34
2023-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0,7.96,3.93
2023-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0,7.6,3.72
2023-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0,7.65,3.45
2023-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0,7.63,3.31
2023-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0,7.58,3.1
2023-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0,7.61,2.76
2023-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0,7.55,2.34
