time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0010,0.0,0.0,0.0,10.18,3.72,0.0
20220101:0110,0.0,0.0,0.0,10.07,3.38,0.0
20220101:0210,0.0,0.0,0.0,9.98,2.97,0.0
20220101:0310,0.0,0.0,0.0,9.88,2.76,0.0
20220101:0410,0.0,0.0,0.0,9.76,2.9,0.0
20220101:0510,0.0,0.0,0.0,9.69,3.24,0.0
20220101:0610,0.0,0.0,0.0,9.58,3.17,0.0
20220101:0710,0.0,0.0,0.0,9.97,3.1,0.0
20220101:0810,15.49,34.47,4.76,9.86,2.83,0.0
20220101:0910,34.54,56.0,10.45,9.98,2.9,0.0
20220101:1010,96.68,133.0,14.29,10.18,3.31,0.0
20220101:1110,37.13,59.0,15.94,10.41,3.72,0.0
20220101:1210,73.51,103.0,15.25,10.52,3.79,0.0
20220101:1310,25.18,44.0,12.29,10.55,3.38,0.0
20220101:1410,13.96,29.0,7.32,10.3,2.41,0.0
20220101:1510,0.0,0.0,0.0,9.6,2.28,0.0
20220101:1610,0.0,0.0,0.0,8.8,2.28,0.0
20220101:1710,0.0,0.0,0.0,8.3,2.34,0.0
20220101:1810,0.0,0.0,0.0,7.96,2.48,0.0
20220101:1910,0.0,0.0,0.0,7.47,2.41,0.0
20220101:2010,0.0,0.0,0.0,7.44,2.48,0.0
20220101:2110,0.0,0.0,0.0,7.39,2.55,0.0
20220101:2210,0.0,0.0,0.0,7.39,2.69,0.0
20220101:2310,0.0,0.0,0.0,7.53,2.9,0.0
20220102:0010,0.0,0.0,0.0,7.7,3.03,0.0
20220102:0110,0.0,0.0,0.0,7.74,3.1,0.0
20220102:0210,0.0,0.0,0.0,7.56,3.17,0.0
20220102:0310,0.0,0.0,0.0,7.35,3.24,0.0
20220102:0410,0.0,0.0,0.0,7.18,2.97,0.0
20220102:0510,0.0,0.0,0.0,7.23,2.62,0.0
20220102:0610,0.0,0.0,0.0,7.4,2.48,0.0
20220102:0710,0.0,0.0,0.0,6.93,2.55,0.0
20220102:0810,4.18,14.0,4.79,6.51,2.76,0.0
20220102:0910,41.48,64.0,10.5,6.83,3.38,0.0
20220102:1010,77.53,107.0,14.35,7.17,3.59,0.0
20220102:1110,29.47,49.0,16.02,8.12,3.93,0.0
20220102:1210,20.75,38.0,15.35,9.04,4.28,0.0
20220102:1310,69.86,100.0,12.4,9.45,5.17,0.0
20220102:1410,28.83,50.0,7.45,9.15,5.1,0.0
20220102:1510,0.0,0.0,0.0,9.02,5.03,0.0
20220102:1610,0.0,0.0,0.0,8.72,4.83,0.0
20220102:1710,0.0,0.0,0.0,9.28,4.83,0.0
20220102:1810,0.0,0.0,0.0,9.55,4.83,0.0
20220102:1910,0.0,0.0,0.0,8.26,4.55,0.0
20220102:2010,0.0,0.0,0.0,8.23,4.07,0.0
20220102:2110,0.0,0.0,0.0,8.27,4.14,0.0
20220102:2210,0.0,0.0,0.0,8.24,5.24,0.0
20220102:2310,0.0,0.0,0.0,8.89,6.07,0.0
20220103:0010,0.0,0.0,0.0,8.96,7.17,0.0
20220103:0110,0.0,0.0,0.0,8.34,6.62,0.0
20220103:0210,0.0,0.0,0.0,7.69,6.0,0.0
20220103:0310,0.0,0.0,0.0,7.22,5.79,0.0
20220103:0410,0.0,0.0,0.0,7.15,5.72,0.0
20220103:0510,0.0,0.0,0.0,7.22,5.52,0.0
20220103:0610,0.0,0.0,0.0,7.33,5.38,0.0
20220103:0710,0.0,0.0,0.0,7.33,4.97,0.0
20220103:0810,17.11,39.13,4.82,7.29,4.69,0.0
20220103:0910,49.93,75.0,10.55,7.52,5.17,0.0
20220103:1010,29.55,49.0,14.42,7.68,5.24,0.0
20220103:1110,90.78,122.0,16.11,7.9,5.31,0.0
20220103:1210,43.44,66.0,15.46,7.94,5.59,0.0
20220103:1310,11.27,25.0,12.52,8.28,4.69,0.0
20220103:1410,47.55,87.01,7.57,8.05,4.76,0.0
20220103:1510,0.0,0.0,0.0,7.76,4.48,0.0
20220103:1610,0.0,0.0,0.0,7.09,4.34,0.0
20220103:1710,0.0,0.0,0.0,6.81,4.07,0.0
20220103:1810,0.0,0.0,0.0,6.74,3.72,0.0
20220103:1910,0.0,0.0,0.0,6.48,3.59,0.0
20220103:2010,0.0,0.0,0.0,6.6,3.31,0.0
20220103:2110,0.0,0.0,0.0,6.76,2.97,0.0
20220103:2210,0.0,0.0,0.0,6.88,2.69,0.0
20220103:2310,0.0,0.0,0.0,6.99,2.62,0.0
20220104:0010,0.0,0.0,0.0,7.06,2.48,0.0
20220104:0110,0.0,0.0,0.0,7.07,2.14,0.0
20220104:0210,0.0,0.0,0.0,7.07,1.79,0.0
20220104:0310,0.0,0.0,0.0,7.05,1.52,0.0
20220104:0410,0.0,0.0,0.0,6.95,0.97,0.0
20220104:0510,0.0,0.0,0.0,6.74,0.69,0.0
20220104:0610,0.0,0.0,0.0,6.66,0.76,0.0
20220104:0710,0.0,0.0,0.0,6.24,0.41,0.0
20220104:0810,13.12,28.55,4.86,6.14,0.28,0.0
20220104:0910,12.81,27.0,10.61,6.15,0.41,0.0
20220104:1010,22.57,40.0,14.5,6.2,1.24,0.0
20220104:1110,47.96,71.0,16.21,5.98,2.14,0.0
20220104:1210,13.61,28.0,15.57,5.25,2.28,0.0
20220104:1310,36.46,57.0,12.65,4.95,2.21,0.0
20220104:1410,30.27,51.0,7.71,4.89,2.41,0.0
20220104:1510,0.0,0.0,0.0,4.62,2.55,0.0
20220104:1610,0.0,0.0,0.0,4.3,2.9,0.0
20220104:1710,0.0,0.0,0.0,4.26,3.31,0.0
20220104:1810,0.0,0.0,0.0,4.36,3.45,0.0
20220104:1910,0.0,0.0,0.0,4.23,3.66,0.0
20220104:2010,0.0,0.0,0.0,4.38,3.66,0.0
20220104:2110,0.0,0.0,0.0,4.42,3.24,0.0
20220104:2210,0.0,0.0,0.0,4.45,2.69,0.0
20220104:2310,0.0,0.0,0.0,4.38,2.28,0.0
20220105:0010,0.0,0.0,0.0,4.25,2.0,0.0
20220105:0110,0.0,0.0,0.0,4.07,1.66,0.0
20220105:0210,0.0,0.0,0.0,3.5,1.45,0.0
20220105:0310,0.0,0.0,0.0,2.21,2.0,0.0
20220105:0410,0.0,0.0,0.0,1.11,2.14,0.0
20220105:0510,0.0,0.0,0.0,0.89,2.28,0.0
20220105:0610,0.0,0.0,0.0,0.91,2.97,0.0
20220105:0710,0.0,0.0,0.0,0.83,3.59,0.0
20220105:0810,17.7,54.59,4.91,0.47,4.07,0.0
20220105:0910,92.2,137.01,10.67,0.6,4.07,0.0
20220105:1010,61.45,85.0,14.58,0.7,4.62,0.0
20220105:1110,39.8,60.0,16.31,1.17,6.97,0.0
20220105:1210,9.56,22.0,15.69,1.89,7.1,0.0
20220105:1310,17.62,33.0,12.78,2.22,6.69,0.0
20220105:1410,49.49,82.0,7.85,1.93,4.76,0.0
20220105:1510,0.0,0.0,0.0,1.75,5.59,0.0
20220105:1610,0.0,0.0,0.0,1.67,4.9,0.0
20220105:1710,0.0,0.0,0.0,1.84,4.69,0.0
20220105:1810,0.0,0.0,0.0,1.84,4.55,0.0
20220105:1910,0.0,0.0,0.0,2.07,4.48,0.0
20220105:2010,0.0,0.0,0.0,1.53,4.21,0.0
20220105:2110,0.0,0.0,0.0,1.21,3.93,0.0
20220105:2210,0.0,0.0,0.0,1.0,3.66,0.0
20220105:2310,0.0,0.0,0.0,1.43,3.66,0.0
20220106:0010,0.0,0.0,0.0,1.51,3.79,0.0
20220106:0110,0.0,0.0,0.0,1.48,3.93,0.0
20220106:0210,0.0,0.0,0.0,1.03,3.86,0.0
20220106:0310,0.0,0.0,0.0,0.89,3.72,0.0
20220106:0410,0.0,0.0,0.0,0.89,3.38,0.0
20220106:0510,0.0,0.0,0.0,0.84,2.9,0.0
20220106:0610,0.0,0.0,0.0,0.55,2.55,0.0
20220106:0710,0.0,0.0,0.0,0.03,2.21,0.0
20220106:0810,18.42,53.65,4.97,-0.31,1.79,0.0
20220106:0910,106.26,168.01,10.75,0.08,1.86,0.0
20220106:1010,177.52,243.01,14.68,0.93,2.83,0.0
20220106:1110,201.9,264.01,16.42,1.63,2.9,0.0
20220106:1210,186.69,247.01,15.82,2.24,2.9,0.0
20220106:1310,134.24,192.01,12.92,2.62,2.55,0.0
20220106:1410,59.79,113.01,7.99,2.49,2.07,0.0
20220106:1510,0.0,0.0,0.0,2.01,1.66,0.0
20220106:1610,0.0,0.0,0.0,1.18,1.59,0.0
20220106:1710,0.0,0.0,0.0,0.52,1.66,0.0
20220106:1810,0.0,0.0,0.0,-0.28,1.79,0.0
20220106:1910,0.0,0.0,0.0,-1.69,1.79,0.0
20220106:2010,0.0,0.0,0.0,-2.33,1.86,0.0
20220106:2110,0.0,0.0,0.0,-2.62,1.93,0.0
20220106:2210,0.0,0.0,0.0,-2.79,2.07,0.0
20220106:2310,0.0,0.0,0.0,-2.34,2.28,0.0
20220107:0010,0.0,0.0,0.0,-1.42,2.55,0.0
20220107:0110,0.0,0.0,0.0,-0.96,2.97,0.0
20220107:0210,0.0,0.0,0.0,-0.44,3.31,0.0
20220107:0310,0.0,0.0,0.0,0.01,3.59,0.0
20220107:0410,0.0,0.0,0.0,0.11,3.72,0.0
20220107:0510,0.0,0.0,0.0,0.17,3.93,0.0
20220107:0610,0.0,0.0,0.0,0.21,4.14,0.0
20220107:0710,0.0,0.0,0.0,-0.09,4.34,0.0
20220107:0810,16.17,33.03,5.03,-0.1,4.41,0.0
20220107:0910,38.89,59.0,10.83,0.05,4.55,0.0
20220107:1010,40.78,61.0,14.78,0.24,4.07,0.0
20220107:1110,61.57,85.0,16.54,0.78,4.69,0.0
20220107:1210,10.29,23.0,15.95,1.35,5.52,0.0
20220107:1310,12.43,26.0,13.07,1.5,5.1,0.0
20220107:1410,4.32,14.0,8.15,1.36,3.45,0.0
20220107:1510,0.0,1.0,1.58,0.86,3.45,0.0
20220107:1610,0.0,0.0,0.0,0.55,3.31,0.0
20220107:1710,0.0,0.0,0.0,0.65,3.17,0.0
20220107:1810,0.0,0.0,0.0,0.74,3.17,0.0
20220107:1910,0.0,0.0,0.0,-0.05,3.38,0.0
20220107:2010,0.0,0.0,0.0,0.12,3.45,0.0
20220107:2110,0.0,0.0,0.0,0.13,3.52,0.0
20220107:2210,0.0,0.0,0.0,0.04,3.45,0.0
20220107:2310,0.0,0.0,0.0,0.03,3.17,0.0
20220108:0010,0.0,0.0,0.0,0.02,2.76,0.0
20220108:0110,0.0,0.0,0.0,0.17,2.41,0.0
20220108:0210,0.0,0.0,0.0,-0.03,2.07,0.0
20220108:0310,0.0,0.0,0.0,-0.14,1.66,0.0
20220108:0410,0.0,0.0,0.0,-0.18,1.31,0.0
20220108:0510,0.0,0.0,0.0,-0.28,1.1,0.0
20220108:0610,0.0,0.0,0.0,-0.45,1.17,0.0
20220108:0710,0.0,0.0,0.0,-0.36,0.48,0.0
20220108:0810,19.0,57.31,5.1,-0.66,0.69,0.0
20220108:0910,78.82,111.0,10.92,-1.18,1.31,0.0
20220108:1010,126.94,164.0,14.89,-0.13,2.83,0.0
20220108:1110,150.62,190.0,16.67,0.76,3.24,0.0
20220108:1210,148.99,190.0,16.1,0.98,3.24,0.0
20220108:1310,19.28,35.0,13.22,0.88,3.59,0.0
20220108:1410,48.25,76.0,8.31,0.6,3.79,0.0
20220108:1510,0.0,1.0,1.74,-0.1,3.79,0.0
20220108:1610,0.0,0.0,0.0,-0.2,3.45,0.0
20220108:1710,0.0,0.0,0.0,-0.18,4.0,0.0
20220108:1810,0.0,0.0,0.0,-0.11,4.28,0.0
20220108:1910,0.0,0.0,0.0,-0.14,4.0,0.0
20220108:2010,0.0,0.0,0.0,0.0,4.9,0.0
20220108:2110,0.0,0.0,0.0,0.03,4.9,0.0
20220108:2210,0.0,0.0,0.0,-0.02,4.76,0.0
20220108:2310,0.0,0.0,0.0,0.16,4.69,0.0
20220109:0010,0.0,0.0,0.0,0.42,4.76,0.0
20220109:0110,0.0,0.0,0.0,0.75,4.83,0.0
