Price (EUR/MWhe),datetime,solar_generation_MW,temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
114.9,2022-01-01 00:00:00,75.0,8.7,9.3,103,0,0.0,0.0
113.87,2022-01-01 01:00:00,75.0,10.2,8.6,112,26,0.0,0.0
97.8,2022-01-01 02:00:00,75.0,9.0,10.3,115,0,0.0,0.0
97.8,2022-01-01 03:00:00,75.0,11.7,7.1,105,0,0.0,0.0
95.74,2022-01-01 04:00:00,75.0,13.3,4.7,99,0,0.0,0.0
97.8,2022-01-01 05:00:00,75.0,14.9,2.5,90,0,0.0,0.0
97.8,2022-01-01 06:00:00,75.0,14.4,1.8,90,0,0.0,0.0
97.8,2022-01-01 07:00:00,144.0,10.6,4.3,95,1,0.0,0.0
70.05,2022-01-01 08:00:00,2024.0,8.2,5.4,94,13,5.0,0.0
76.79,2022-01-01 09:00:00,5220.0,12.5,4.3,95,21,109.0,0.0
84.1,2022-01-01 10:00:00,7033.0,16.4,7.1,114,18,264.0,0.0
94.74,2022-01-01 11:00:00,7564.0,19.3,5.5,148,17,392.0,0.0
96.8,2022-01-01 12:00:00,7514.0,20.8,5.4,172,33,471.0,0.0
97.8,2022-01-01 13:00:00,7338.0,20.6,7.6,185,91,481.0,0.0
98.52,2022-01-01 14:00:00,6789.0,20.1,6.3,211,73,445.0,0.0
114.5,2022-01-01 15:00:00,4763.0,19.3,5.1,231,96,355.0,0.0
149.97,2022-01-01 16:00:00,1679.0,17.3,4.1,232,95,218.0,0.0
177.22,2022-01-01 17:00:00,270.0,15.3,6.8,177,38,66.0,0.0
187.52,2022-01-01 18:00:00,145.0,11.7,7.1,139,49,0.0,0.0
189.26,2022-01-01 19:00:00,129.0,9.9,7.5,125,36,0.0,0.0
190.81,2022-01-01 20:00:00,78.0,9.5,7.6,115,37,0.0,0.0
188.39,2022-01-01 21:00:00,49.0,9.1,8.2,113,42,0.0,0.0
167.26,2022-01-01 22:00:00,14.0,8.2,8.9,117,14,0.0,0.0
133.21,2022-01-01 23:00:00,0.0,9.1,7.4,119,0,0.0,0.0
115.87,2022-01-02 00:00:00,15.0,8.7,7.0,111,0,0.0,0.0
110.52,2022-01-02 01:00:00,5.0,8.5,7.2,117,87,0.0,0.0
113.0,2022-01-02 02:00:00,5.0,8.3,6.8,122,60,0.0,0.0
115.87,2022-01-02 03:00:00,5.0,6.4,8.5,118,100,0.0,0.0
110.52,2022-01-02 04:00:00,5.0,8.9,6.0,107,98,0.0,0.0
115.87,2022-01-02 05:00:00,5.0,9.2,4.5,104,87,0.0,0.0
129.6,2022-01-02 06:00:00,5.0,6.0,9.5,115,100,0.0,0.0
115.87,2022-01-02 07:00:00,88.0,9.3,8.0,108,100,0.0,0.0
115.87,2022-01-02 08:00:00,1620.0,10.9,2.2,81,100,5.0,0.0
113.0,2022-01-02 09:00:00,4216.0,12.4,0.8,63,100,97.0,0.0
103.7,2022-01-02 10:00:00,5885.0,14.4,1.4,360,95,238.0,0.0
103.7,2022-01-02 11:00:00,6655.0,16.2,1.0,315,41,375.0,0.0
110.52,2022-01-02 12:00:00,6915.0,17.4,1.9,248,92,475.0,0.0
115.87,2022-01-02 13:00:00,6868.0,18.3,2.6,286,100,480.0,0.0
109.5,2022-01-02 14:00:00,6554.0,18.5,3.6,307,100,431.0,0.0
115.87,2022-01-02 15:00:00,4749.0,18.0,5.1,315,100,324.0,0.0
159.79,2022-01-02 16:00:00,1651.0,16.1,3.8,319,98,195.0,0.0
194.25,2022-01-02 17:00:00,167.0,12.2,8.7,343,55,61.0,0.0
198.0,2022-01-02 18:00:00,64.0,11.9,6.7,36,25,0.0,0.0
208.38,2022-01-02 19:00:00,64.0,10.0,5.0,60,0,0.0,0.0
209.1,2022-01-02 20:00:00,63.0,9.7,5.4,48,12,0.0,0.0
191.36,2022-01-02 21:00:00,45.0,9.7,6.9,39,0,0.0,0.0
178.0,2022-01-02 22:00:00,40.0,9.4,6.4,63,16,0.0,0.0
