,solar_generation_MW
2022-01-01 00:00:00+00:00,0.0
2022-01-01 01:00:00+00:00,0.0
2022-01-01 02:00:00+00:00,0.0
2022-01-01 03:00:00+00:00,0.0
2022-01-01 04:00:00+00:00,0.0
2022-01-01 05:00:00+00:00,0.0
2022-01-01 06:00:00+00:00,0.0
2022-01-01 07:00:00+00:00,0.08
2022-01-01 08:00:00+00:00,5.4925
2022-01-01 09:00:00+00:00,23.295
2022-01-01 10:00:00+00:00,35.1975
2022-01-01 11:00:00+00:00,39.015
2022-01-01 12:00:00+00:00,31.4125
2022-01-01 13:00:00+00:00,21.49
2022-01-01 14:00:00+00:00,15.5
2022-01-01 15:00:00+00:00,1.1375
2022-01-01 16:00:00+00:00,0.0
2022-01-01 17:00:00+00:00,0.0
2022-01-01 18:00:00+00:00,0.0
2022-01-01 19:00:00+00:00,0.0
2022-01-01 20:00:00+00:00,0.0
2022-01-01 21:00:00+00:00,0.0
2022-01-01 22:00:00+00:00,0.0
2022-01-01 23:00:00+00:00,0.0
2022-01-02 00:00:00+00:00,0.0
2022-01-02 01:00:00+00:00,0.0
2022-01-02 02:00:00+00:00,0.0
2022-01-02 03:00:00+00:00,0.0
2022-01-02 04:00:00+00:00,0.0
2022-01-02 05:00:00+00:00,0.0
2022-01-02 06:00:00+00:00,0.0
2022-01-02 07:00:00+00:00,0.0
2022-01-02 08:00:00+00:00,1.5724999999999998
2022-01-02 09:00:00+00:00,13.3875
2022-01-02 10:00:00+00:00,18.0825
2022-01-02 11:00:00+00:00,17.4875
2022-01-02 12:00:00+00:00,19.7425
2022-01-02 13:00:00+00:00,22.3425
2022-01-02 14:00:00+00:00,9.7325
2022-01-02 15:00:00+00:00,0.58
2022-01-02 16:00:00+00:00,0.0
2022-01-02 17:00:00+00:00,0.0
2022-01-02 18:00:00+00:00,0.0
2022-01-02 19:00:00+00:00,0.0
2022-01-02 20:00:00+00:00,0.0
2022-01-02 21:00:00+00:00,0.0
2022-01-02 22:00:00+00:00,0.0
2022-01-02 23:00:00+00:00,0.0
2022-01-03 00:00:00+00:00,0.0
2022-01-03 01:00:00+00:00,0.0
2022-01-03 02:00:00+00:00,0.0
2022-01-03 03:00:00+00:00,0.0
2022-01-03 04:00:00+00:00,0.0
2022-01-03 05:00:00+00:00,0.0
2022-01-03 06:00:00+00:00,0.0
2022-01-03 07:00:00+00:00,0.1149999999999999
2022-01-03 08:00:00+00:00,6.79
2022-01-03 09:00:00+00:00,26.565
2022-01-03 10:00:00+00:00,48.635
2022-01-03 11:00:00+00:00,61.9175
2022-01-03 12:00:00+00:00,62.962500000000006
2022-01-03 13:00:00+00:00,35.2825
2022-01-03 14:00:00+00:00,10.59
2022-01-03 15:00:00+00:00,0.605
2022-01-03 16:00:00+00:00,0.0
2022-01-03 17:00:00+00:00,0.0
2022-01-03 18:00:00+00:00,0.0
2022-01-03 19:00:00+00:00,0.0
2022-01-03 20:00:00+00:00,0.0
2022-01-03 21:00:00+00:00,0.0
2022-01-03 22:00:00+00:00,0.0
2022-01-03 23:00:00+00:00,0.0
2022-01-04 00:00:00+00:00,0.0
2022-01-04 01:00:00+00:00,0.0
2022-01-04 02:00:00+00:00,0.0
2022-01-04 03:00:00+00:00,0.0
2022-01-04 04:00:00+00:00,0.0
2022-01-04 05:00:00+00:00,0.0
2022-01-04 06:00:00+00:00,0.0
2022-01-04 07:00:00+00:00,0.0
2022-01-04 08:00:00+00:00,2.87
2022-01-04 09:00:00+00:00,11.095
2022-01-04 10:00:00+00:00,12.5925
2022-01-04 11:00:00+00:00,24.86
2022-01-04 12:00:00+00:00,27.805
2022-01-04 13:00:00+00:00,37.692499999999995
2022-01-04 14:00:00+00:00,19.84
2022-01-04 15:00:00+00:00,1.4875
2022-01-04 16:00:00+00:00,0.0
2022-01-04 17:00:00+00:00,0.0
2022-01-04 18:00:00+00:00,0.0
2022-01-04 19:00:00+00:00,0.0
2022-01-04 20:00:00+00:00,0.0
2022-01-04 21:00:00+00:00,0.0
2022-01-04 22:00:00+00:00,0.0
2022-01-04 23:00:00+00:00,0.0
2022-01-05 00:00:00+00:00,0.0
2022-01-05 01:00:00+00:00,0.0
2022-01-05 02:00:00+00:00,0.0
2022-01-05 03:00:00+00:00,0.0
2022-01-05 04:00:00+00:00,0.0
2022-01-05 05:00:00+00:00,0.0
2022-01-05 06:00:00+00:00,0.0
2022-01-05 07:00:00+00:00,0.0425
2022-01-05 08:00:00+00:00,6.0925
2022-01-05 09:00:00+00:00,24.8925
2022-01-05 10:00:00+00:00,65.4325
2022-01-05 11:00:00+00:00,77.4325
2022-01-05 12:00:00+00:00,65.455
2022-01-05 13:00:00+00:00,35.645
2022-01-05 14:00:00+00:00,15.3675
2022-01-05 15:00:00+00:00,2.085
2022-01-05 16:00:00+00:00,0.0
2022-01-05 17:00:00+00:00,0.0
2022-01-05 18:00:00+00:00,0.0
2022-01-05 19:00:00+00:00,0.0
2022-01-05 20:00:00+00:00,0.0
2022-01-05 21:00:00+00:00,0.0
2022-01-05 22:00:00+00:00,0.0
2022-01-05 23:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,0.0
2022-01-06 01:00:00+00:00,0.0
2022-01-06 02:00:00+00:00,0.0
2022-01-06 03:00:00+00:00,0.0
2022-01-06 04:00:00+00:00,0.0
2022-01-06 05:00:00+00:00,0.0
2022-01-06 06:00:00+00:00,0.0
2022-01-06 07:00:00+00:00,0.5750000000000001
2022-01-06 08:00:00+00:00,21.0375
2022-01-06 09:00:00+00:00,53.3875
2022-01-06 10:00:00+00:00,87.3175
2022-01-06 11:00:00+00:00,104.805
2022-01-06 12:00:00+00:00,101.0775
2022-01-06 13:00:00+00:00,64.57
2022-01-06 14:00:00+00:00,26.825
2022-01-06 15:00:00+00:00,2.0525
2022-01-06 16:00:00+00:00,0.0
2022-01-06 17:00:00+00:00,0.0
2022-01-06 18:00:00+00:00,0.0
2022-01-06 19:00:00+00:00,0.0
2022-01-06 20:00:00+00:00,0.0
2022-01-06 21:00:00+00:00,0.0
2022-01-06 22:00:00+00:00,0.0
2022-01-06 23:00:00+00:00,0.0
2022-01-07 00:00:00+00:00,0.0
2022-01-07 01:00:00+00:00,0.0
2022-01-07 02:00:00+00:00,0.0
2022-01-07 03:00:00+00:00,0.0
2022-01-07 04:00:00+00:00,0.0
2022-01-07 05:00:00+00:00,0.0
2022-01-07 06:00:00+00:00,0.0
2022-01-07 07:00:00+00:00,0.04
2022-01-07 08:00:00+00:00,5.76
2022-01-07 09:00:00+00:00,25.7
2022-01-07 10:00:00+00:00,35.96
2022-01-07 11:00:00+00:00,56.3425
2022-01-07 12:00:00+00:00,50.2675
2022-01-07 13:00:00+00:00,48.17
2022-01-07 14:00:00+00:00,15.8125
2022-01-07 15:00:00+00:00,2.1025
2022-01-07 16:00:00+00:00,0.0
2022-01-07 17:00:00+00:00,0.0
2022-01-07 18:00:00+00:00,0.0
2022-01-07 19:00:00+00:00,0.0
2022-01-07 20:00:00+00:00,0.0
2022-01-07 21:00:00+00:00,0.0
2022-01-07 22:00:00+00:00,0.0
2022-01-07 23:00:00+00:00,0.0
2022-01-08 00:00:00+00:00,0.0
2022-01-08 01:00:00+00:00,0.0
2022-01-08 02:00:00+00:00,0.0
2022-01-08 03:00:00+00:00,0.0
2022-01-08 04:00:00+00:00,0.0
2022-01-08 05:00:00+00:00,0.0
2022-01-08 06:00:00+00:00,0.0
2022-01-08 07:00:00+00:00,0.835
2022-01-08 08:00:00+00:00,20.2675
2022-01-08 09:00:00+00:00,47.205
2022-01-08 10:00:00+00:00,65.6525
2022-01-08 11:00:00+00:00,60.9425
2022-01-08 12:00:00+00:00,44.947500000000005
2022-01-08 13:00:00+00:00,24.8675
2022-01-08 14:00:00+00:00,7.815
2022-01-08 15:00:00+00:00,0.225
