,solar_generation_MW
2022-01-01 00:00:00+00:00,0.0
2022-01-01 01:00:00+00:00,0.0
2022-01-01 02:00:00+00:00,0.0
2022-01-01 03:00:00+00:00,0.0
2022-01-01 04:00:00+00:00,0.0
2022-01-01 05:00:00+00:00,0.0
2022-01-01 06:00:00+00:00,0.16
2022-01-01 07:00:00+00:00,21.3
2022-01-01 08:00:00+00:00,113.89
2022-01-01 09:00:00+00:00,219.29
2022-01-01 10:00:00+00:00,300.08
2022-01-01 11:00:00+00:00,309.85
2022-01-01 12:00:00+00:00,248.88
2022-01-01 13:00:00+00:00,162.35
2022-01-01 14:00:00+00:00,50.99
2022-01-01 15:00:00+00:00,0.7
2022-01-01 16:00:00+00:00,0.0
2022-01-01 17:00:00+00:00,0.0
2022-01-01 18:00:00+00:00,0.0
2022-01-01 19:00:00+00:00,0.0
2022-01-01 20:00:00+00:00,0.0
2022-01-01 21:00:00+00:00,0.0
2022-01-01 22:00:00+00:00,0.0
2022-01-01 23:00:00+00:00,0.0
2022-01-02 00:00:00+00:00,0.0
2022-01-02 01:00:00+00:00,0.0
2022-01-02 02:00:00+00:00,0.0
2022-01-02 03:00:00+00:00,0.0
2022-01-02 04:00:00+00:00,0.0
2022-01-02 05:00:00+00:00,0.0
2022-01-02 06:00:00+00:00,0.44
2022-01-02 07:00:00+00:00,62.33
2022-01-02 08:00:00+00:00,257.89
2022-01-02 09:00:00+00:00,542.8
2022-01-02 10:00:00+00:00,632.98
2022-01-02 11:00:00+00:00,704.8
2022-01-02 12:00:00+00:00,600.04
2022-01-02 13:00:00+00:00,324.11
2022-01-02 14:00:00+00:00,97.69
2022-01-02 15:00:00+00:00,1.01
2022-01-02 16:00:00+00:00,0.0
2022-01-02 17:00:00+00:00,0.0
2022-01-02 18:00:00+00:00,0.0
2022-01-02 19:00:00+00:00,0.0
2022-01-02 20:00:00+00:00,0.0
2022-01-02 21:00:00+00:00,0.0
2022-01-02 22:00:00+00:00,0.0
2022-01-02 23:00:00+00:00,0.0
2022-01-03 00:00:00+00:00,0.0
2022-01-03 01:00:00+00:00,0.0
2022-01-03 02:00:00+00:00,0.0
2022-01-03 03:00:00+00:00,0.0
2022-01-03 04:00:00+00:00,0.0
2022-01-03 05:00:00+00:00,0.0
2022-01-03 06:00:00+00:00,0.55
2022-01-03 07:00:00+00:00,57.24
2022-01-03 08:00:00+00:00,143.74
2022-01-03 09:00:00+00:00,274.48
2022-01-03 10:00:00+00:00,417.04
2022-01-03 11:00:00+00:00,532.76
2022-01-03 12:00:00+00:00,432.19
2022-01-03 13:00:00+00:00,330.58
2022-01-03 14:00:00+00:00,107.43
2022-01-03 15:00:00+00:00,6.55
2022-01-03 16:00:00+00:00,0.05
2022-01-03 17:00:00+00:00,0.1
2022-01-03 18:00:00+00:00,0.1
2022-01-03 19:00:00+00:00,0.03
2022-01-03 20:00:00+00:00,0.01
2022-01-03 21:00:00+00:00,0.0
2022-01-03 22:00:00+00:00,0.0
2022-01-03 23:00:00+00:00,0.08
2022-01-04 00:00:00+00:00,0.05
2022-01-04 01:00:00+00:00,0.0
2022-01-04 02:00:00+00:00,0.0
2022-01-04 03:00:00+00:00,0.0
2022-01-04 04:00:00+00:00,0.05
2022-01-04 05:00:00+00:00,0.0
2022-01-04 06:00:00+00:00,0.55
2022-01-04 07:00:00+00:00,62.44
2022-01-04 08:00:00+00:00,183.04
2022-01-04 09:00:00+00:00,368.0
2022-01-04 10:00:00+00:00,477.95
2022-01-04 11:00:00+00:00,462.39
2022-01-04 12:00:00+00:00,345.83
2022-01-04 13:00:00+00:00,251.94
2022-01-04 14:00:00+00:00,70.59
2022-01-04 15:00:00+00:00,0.94
2022-01-04 16:00:00+00:00,0.13
2022-01-04 17:00:00+00:00,0.2
2022-01-04 18:00:00+00:00,0.03
2022-01-04 19:00:00+00:00,0.0
2022-01-04 20:00:00+00:00,0.04
2022-01-04 21:00:00+00:00,0.04
2022-01-04 22:00:00+00:00,0.0
2022-01-04 23:00:00+00:00,0.0
2022-01-05 00:00:00+00:00,0.0
2022-01-05 01:00:00+00:00,0.03
2022-01-05 02:00:00+00:00,0.0
2022-01-05 03:00:00+00:00,0.0
2022-01-05 04:00:00+00:00,0.0
2022-01-05 05:00:00+00:00,0.0
2022-01-05 06:00:00+00:00,0.18
2022-01-05 07:00:00+00:00,42.68
2022-01-05 08:00:00+00:00,131.78
2022-01-05 09:00:00+00:00,294.98
2022-01-05 10:00:00+00:00,409.23
2022-01-05 11:00:00+00:00,414.91
2022-01-05 12:00:00+00:00,286.93
2022-01-05 13:00:00+00:00,201.64
2022-01-05 14:00:00+00:00,82.69
2022-01-05 15:00:00+00:00,5.06
2022-01-05 16:00:00+00:00,0.0
2022-01-05 17:00:00+00:00,0.0
2022-01-05 18:00:00+00:00,0.0
2022-01-05 19:00:00+00:00,0.0
2022-01-05 20:00:00+00:00,0.0
2022-01-05 21:00:00+00:00,0.0
2022-01-05 22:00:00+00:00,0.0
2022-01-05 23:00:00+00:00,0.05
2022-01-06 00:00:00+00:00,0.01
2022-01-06 01:00:00+00:00,0.01
2022-01-06 02:00:00+00:00,0.0
2022-01-06 03:00:00+00:00,0.0
2022-01-06 04:00:00+00:00,0.05
2022-01-06 05:00:00+00:00,0.0
2022-01-06 06:00:00+00:00,0.96
2022-01-06 07:00:00+00:00,62.46
2022-01-06 08:00:00+00:00,197.19
2022-01-06 09:00:00+00:00,430.88
2022-01-06 10:00:00+00:00,589.08
2022-01-06 11:00:00+00:00,642.24
2022-01-06 12:00:00+00:00,489.53
2022-01-06 13:00:00+00:00,422.74
2022-01-06 14:00:00+00:00,212.59
2022-01-06 15:00:00+00:00,16.2
2022-01-06 16:00:00+00:00,0.0
2022-01-06 17:00:00+00:00,0.0
2022-01-06 18:00:00+00:00,0.0
2022-01-06 19:00:00+00:00,0.0
2022-01-06 20:00:00+00:00,0.0
2022-01-06 21:00:00+00:00,0.0
2022-01-06 22:00:00+00:00,0.0
2022-01-06 23:00:00+00:00,0.0
2022-01-07 00:00:00+00:00,0.03
2022-01-07 01:00:00+00:00,0.0
2022-01-07 02:00:00+00:00,0.0
2022-01-07 03:00:00+00:00,0.06
2022-01-07 04:00:00+00:00,0.06
2022-01-07 05:00:00+00:00,0.0
2022-01-07 06:00:00+00:00,1.96
2022-01-07 07:00:00+00:00,100.65
2022-01-07 08:00:00+00:00,585.63
2022-01-07 09:00:00+00:00,1092.79
2022-01-07 10:00:00+00:00,1380.95
2022-01-07 11:00:00+00:00,1401.49
2022-01-07 12:00:00+00:00,1277.69
2022-01-07 13:00:00+00:00,732.25
2022-01-07 14:00:00+00:00,242.03
2022-01-07 15:00:00+00:00,13.35
2022-01-07 16:00:00+00:00,0.0
2022-01-07 17:00:00+00:00,0.0
2022-01-07 18:00:00+00:00,0.0
2022-01-07 19:00:00+00:00,0.0
2022-01-07 20:00:00+00:00,0.0
2022-01-07 21:00:00+00:00,0.0
2022-01-07 22:00:00+00:00,0.0
2022-01-07 23:00:00+00:00,0.0
2022-01-08 00:00:00+00:00,0.01
2022-01-08 01:00:00+00:00,0.1
2022-01-08 02:00:00+00:00,0.08
2022-01-08 03:00:00+00:00,0.01
2022-01-08 04:00:00+00:00,0.0
2022-01-08 05:00:00+00:00,0.0
2022-01-08 06:00:00+00:00,1.95
2022-01-08 07:00:00+00:00,98.89
2022-01-08 08:00:00+00:00,339.4
2022-01-08 09:00:00+00:00,639.36
2022-01-08 10:00:00+00:00,735.31
2022-01-08 11:00:00+00:00,712.4
2022-01-08 12:00:00+00:00,687.41
2022-01-08 13:00:00+00:00,450.25
2022-01-08 14:00:00+00:00,154.83
2022-01-08 15:00:00+00:00,8.1
2022-01-08 16:00:00+00:00,0.04
2022-01-08 17:00:00+00:00,0.09
