time,temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
2022-01-01T00:00,8.7,9.3,103,0,0.0,0.0
2022-01-01T01:00,10.2,8.6,112,26,0.0,0.0
2022-01-01T02:00,9.0,10.3,115,0,0.0,0.0
2022-01-01T03:00,11.7,7.1,105,0,0.0,0.0
2022-01-01T04:00,13.3,4.7,99,0,0.0,0.0
2022-01-01T05:00,14.9,2.5,90,0,0.0,0.0
2022-01-01T06:00,14.4,1.8,90,0,0.0,0.0
2022-01-01T07:00,10.6,4.3,95,1,0.0,0.0
2022-01-01T08:00,8.2,5.4,94,13,5.0,0.0
2022-01-01T09:00,12.5,4.3,95,21,109.0,0.0
2022-01-01T10:00,16.4,7.1,114,18,264.0,0.0
2022-01-01T11:00,19.3,5.5,148,17,392.0,0.0
2022-01-01T12:00,20.8,5.4,172,33,471.0,0.0
2022-01-01T13:00,20.6,7.6,185,91,481.0,0.0
2022-01-01T14:00,20.1,6.3,211,73,445.0,0.0
2022-01-01T15:00,19.3,5.1,231,96,355.0,0.0
2022-01-01T16:00,17.3,4.1,232,95,218.0,0.0
2022-01-01T17:00,15.3,6.8,177,38,66.0,0.0
2022-01-01T18:00,11.7,7.1,139,49,0.0,0.0
2022-01-01T19:00,9.9,7.5,125,36,0.0,0.0
2022-01-01T20:00,9.5,7.6,115,37,0.0,0.0
2022-01-01T21:00,9.1,8.2,113,42,0.0,0.0
2022-01-01T22:00,8.2,8.9,117,14,0.0,0.0
2022-01-01T23:00,9.1,7.4,119,0,0.0,0.0
2022-01-02T00:00,8.7,7.0,111,0,0.0,0.0
2022-01-02T01:00,8.5,7.2,117,87,0.0,0.0
2022-01-02T02:00,8.3,6.8,122,60,0.0,0.0
2022-01-02T03:00,6.4,8.5,118,100,0.0,0.0
2022-01-02T04:00,8.9,6.0,107,98,0.0,0.0
2022-01-02T05:00,9.2,4.5,104,87,0.0,0.0
2022-01-02T06:00,6.0,9.5,115,100,0.0,0.0
2022-01-02T07:00,9.3,8.0,108,100,0.0,0.0
2022-01-02T08:00,10.9,2.2,81,100,5.0,0.0
2022-01-02T09:00,12.4,0.8,63,100,97.0,0.0
2022-01-02T10:00,14.4,1.4,360,95,238.0,0.0
2022-01-02T11:00,16.2,1.0,315,41,375.0,0.0
2022-01-02T12:00,17.4,1.9,248,92,475.0,0.0
2022-01-02T13:00,18.3,2.6,286,100,480.0,0.0
2022-01-02T14:00,18.5,3.6,307,100,431.0,0.0
2022-01-02T15:00,18.0,5.1,315,100,324.0,0.0
2022-01-02T16:00,16.1,3.8,319,98,195.0,0.0
2022-01-02T17:00,12.2,8.7,343,55,61.0,0.0
2022-01-02T18:00,11.9,6.7,36,25,0.0,0.0
2022-01-02T19:00,10.0,5.0,60,0,0.0,0.0
2022-01-02T20:00,9.7,5.4,48,12,0.0,0.0
2022-01-02T21:00,9.7,6.9,39,0,0.0,0.0
2022-01-02T22:00,9.4,6.4,63,16,0.0,0.0
2022-01-02T23:00,8.4,5.1,82,0,0.0,0.0
2022-01-03T00:00,9.8,3.0,76,0,0.0,0.0
2022-01-03T01:00,9.8,2.9,83,0,0.0,0.0
2022-01-03T02:00,8.5,4.0,90,0,0.0,0.0
2022-01-03T03:00,8.2,4.7,99,0,0.0,0.0
2022-01-03T04:00,8.8,5.6,105,0,0.0,0.0
2022-01-03T05:00,11.6,0.4,90,0,0.0,0.0
2022-01-03T06:00,12.0,2.2,90,0,0.0,0.0
2022-01-03T07:00,12.2,0.7,90,0,0.0,0.0
2022-01-03T08:00,12.4,0.4,90,0,5.0,0.0
2022-01-03T09:00,12.3,1.3,146,0,103.0,0.0
2022-01-03T10:00,14.7,2.2,180,2,253.0,0.0
2022-01-03T11:00,16.8,2.1,211,51,377.0,0.0
2022-01-03T12:00,18.0,3.3,229,90,454.0,0.0
2022-01-03T13:00,18.6,3.8,253,95,473.0,0.0
2022-01-03T14:00,18.9,4.7,270,93,434.0,0.0
2022-01-03T15:00,18.6,4.9,287,97,343.0,0.0
2022-01-03T16:00,17.5,3.1,306,37,211.0,0.0
2022-01-03T17:00,17.3,2.6,326,17,67.0,0.0
2022-01-03T18:00,15.8,4.6,162,4,0.0,0.0
2022-01-03T19:00,10.5,8.1,159,23,0.0,0.0
2022-01-03T20:00,10.1,7.6,155,38,0.0,0.0
2022-01-03T21:00,9.6,7.4,151,83,0.0,0.0
2022-01-03T22:00,9.4,6.8,148,19,0.0,0.0
2022-01-03T23:00,9.2,6.5,146,1,0.0,0.0
2022-01-04T00:00,9.0,8.0,153,16,0.0,0.0
2022-01-04T01:00,7.4,7.1,150,17,0.0,0.0
2022-01-04T02:00,7.4,6.5,146,78,0.0,0.0
2022-01-04T03:00,7.9,5.6,135,99,0.0,0.0
2022-01-04T04:00,7.8,6.6,135,99,0.0,0.0
2022-01-04T05:00,7.8,6.6,135,100,0.0,0.0
2022-01-04T06:00,7.6,6.7,144,100,0.0,0.0
2022-01-04T07:00,7.7,6.6,151,99,0.0,0.0
2022-01-04T08:00,7.8,7.1,156,97,4.0,0.0
2022-01-04T09:00,10.0,11.3,163,5,103.0,0.0
2022-01-04T10:00,11.9,12.6,175,35,255.0,0.0
2022-01-04T11:00,12.9,16.2,193,7,378.0,0.0
2022-01-04T12:00,12.5,17.7,209,36,455.0,0.0
2022-01-04T13:00,12.3,19.6,223,69,359.0,0.0
2022-01-04T14:00,12.7,23.0,243,68,319.0,0.1
2022-01-04T15:00,11.1,23.8,241,100,180.0,1.3
2022-01-04T16:00,9.3,23.8,269,95,25.0,2.2
2022-01-04T17:00,7.8,20.1,280,100,25.0,0.4
2022-01-04T18:00,7.0,18.7,286,43,0.0,0.0
2022-01-04T19:00,6.2,19.7,294,49,0.0,0.0
2022-01-04T20:00,5.7,20.1,303,100,0.0,0.0
2022-01-04T21:00,5.5,18.0,299,100,0.0,0.0
2022-01-04T22:00,5.5,14.9,302,100,0.0,0.0
2022-01-04T23:00,4.9,15.8,300,100,0.0,0.0
2022-01-05T00:00,4.7,17.4,292,100,0.0,0.0
2022-01-05T01:00,4.5,16.0,293,100,0.0,0.1
2022-01-05T02:00,4.0,14.0,296,100,0.0,0.0
2022-01-05T03:00,3.7,12.9,300,100,0.0,0.0
2022-01-05T04:00,3.2,9.8,298,100,0.0,0.0
2022-01-05T05:00,3.1,12.1,300,100,0.0,0.0
2022-01-05T06:00,3.4,12.3,302,100,0.0,0.0
2022-01-05T07:00,3.6,12.1,307,100,0.0,0.0
2022-01-05T08:00,3.8,10.0,300,100,2.0,0.0
2022-01-05T09:00,4.1,9.3,298,100,39.0,0.0
2022-01-05T10:00,4.4,10.8,300,100,84.0,0.0
2022-01-05T11:00,5.1,12.6,297,100,165.0,0.1
2022-01-05T12:00,6.5,16.8,305,100,182.0,0.1
2022-01-05T13:00,7.7,19.2,308,100,240.0,0.1
2022-01-05T14:00,8.1,20.1,314,100,231.0,0.0
2022-01-05T15:00,8.3,18.5,307,100,174.0,0.0
2022-01-05T16:00,8.3,12.7,299,100,89.0,0.0
2022-01-05T17:00,7.7,9.8,278,100,42.0,0.0
2022-01-05T18:00,7.4,10.8,268,100,0.0,0.1
2022-01-05T19:00,7.3,9.7,248,100,0.0,1.0
2022-01-05T20:00,7.2,12.7,245,100,0.0,2.0
2022-01-05T21:00,7.2,15.3,243,100,0.0,1.4
2022-01-05T22:00,7.1,17.8,252,100,0.0,1.0
2022-01-05T23:00,7.1,21.1,287,75,0.0,0.8
2022-01-06T00:00,6.8,17.8,306,100,0.0,1.2
2022-01-06T01:00,6.6,17.3,324,100,0.0,0.2
2022-01-06T02:00,6.7,16.3,354,14,0.0,0.0
2022-01-06T03:00,5.0,13.8,6,19,0.0,0.0
2022-01-06T04:00,4.3,11.0,19,58,0.0,0.0
2022-01-06T05:00,3.9,8.9,14,72,0.0,0.0
2022-01-06T06:00,3.9,7.1,15,39,0.0,0.0
2022-01-06T07:00,2.7,5.9,11,1,0.0,0.0
2022-01-06T08:00,2.4,7.3,9,2,5.0,0.0
2022-01-06T09:00,4.3,10.3,12,3,108.0,0.0
2022-01-06T10:00,5.6,11.0,23,10,265.0,0.0
2022-01-06T11:00,6.7,10.3,29,10,396.0,0.0
2022-01-06T12:00,8.9,9.7,15,2,483.0,0.0
2022-01-06T13:00,9.7,8.6,358,2,509.0,0.0
2022-01-06T14:00,10.0,8.8,341,2,473.0,0.0
2022-01-06T15:00,9.9,8.8,341,3,379.0,0.0
2022-01-06T16:00,9.3,8.2,331,13,238.0,0.0
2022-01-06T17:00,5.9,7.2,333,10,79.0,0.0
2022-01-06T18:00,4.5,7.6,329,17,1.0,0.0
2022-01-06T19:00,4.7,7.9,330,15,0.0,0.0
2022-01-06T20:00,4.0,6.8,342,0,0.0,0.0
2022-01-06T21:00,3.6,6.5,354,17,0.0,0.0
2022-01-06T22:00,3.4,5.9,11,37,0.0,0.0
2022-01-06T23:00,2.9,5.3,62,1,0.0,0.0
2022-01-07T00:00,2.5,3.4,122,0,0.0,0.0
2022-01-07T01:00,1.5,4.4,99,5,0.0,0.0
2022-01-07T02:00,1.6,2.9,90,42,0.0,0.0
2022-01-07T03:00,1.6,3.2,63,0,0.0,0.0
2022-01-07T04:00,1.5,5.1,51,13,0.0,0.0
2022-01-07T05:00,1.2,6.4,47,0,0.0,0.0
2022-01-07T06:00,0.8,6.5,56,0,0.0,0.0
2022-01-07T07:00,0.5,6.4,52,0,0.0,0.0
2022-01-07T08:00,1.7,6.2,54,0,5.0,0.0
2022-01-07T09:00,5.2,11.0,52,0,109.0,0.0
2022-01-07T10:00,7.2,11.0,52,0,274.0,0.0
2022-01-07T11:00,8.5,10.6,62,0,405.0,0.0
2022-01-07T12:00,10.0,10.5,63,0,477.0,0.0
2022-01-07T13:00,10.5,12.3,52,0,505.0,0.0
2022-01-07T14:00,10.8,15.7,37,0,469.0,0.0
2022-01-07T15:00,10.5,15.4,33,0,376.0,0.0
2022-01-07T16:00,10.2,13.7,27,0,239.0,0.0
2022-01-07T17:00,8.2,8.7,38,0,80.0,0.0
2022-01-07T18:00,6.1,8.2,52,0,1.0,0.0
2022-01-07T19:00,5.3,9.3,36,0,0.0,0.0
2022-01-07T20:00,4.6,8.9,43,0,0.0,0.0
2022-01-07T21:00,4.3,9.2,48,0,0.0,0.0
2022-01-07T22:00,3.9,8.7,48,69,0.0,0.0
2022-01-07T23:00,3.0,7.1,49,4,0.0,0.0
