,horizon,MAE,RMSE,R2
0,1,17.48479067099981,28.46042527719002,0.7319628855758948
1,2,30.96381571401262,46.53018872864891,0.28356619574634134
2,3,41.728988721085834,59.80123532340544,-0.18335724744496207
3,4,50.27961575224622,69.6169513897232,-0.6036852466421867
4,5,56.62199005926209,76.53827965952918,-0.9383699628851181
5,6,60.933030013381774,80.79495592714296,-1.1600983109594343
6,7,63.40078761231123,82.79010217069747,-1.2686299147946163
7,8,63.9655457847448,82.77468886598741,-1.2690001106350262
8,9,62.989885299177985,80.97163631362801,-1.1724186745600993
9,10,61.060198814758174,77.98402451309029,-1.0162075625900022
10,11,59.34435480787612,74.91804656355163,-0.8618006353983798
11,12,58.909386350602176,73.52543994052478,-0.7940910686036311
12,13,59.717222328426686,75.24678126579347,-0.879784698714716
13,14,61.508740202638116,78.50109481999151,-1.0460595969622921
14,15,63.30124068055821,81.57113335914673,-1.2091170583994164
15,16,64.31961384056586,83.43056630445835,-1.3101459580338215
16,17,63.875614605238,83.56199012158409,-1.3174199781009421
17,18,61.56394570827758,81.78584178720608,-1.2217780206483626
18,19,57.52325941502581,77.875557790524,-1.0146742349861224
19,20,51.7297036895431,71.543957917026,-0.7004115636236392
20,21,44.284555534314656,62.830710329613495,-0.31143384985937317
21,22,35.59619384438922,52.102539266999294,0.09818549750083949
22,23,26.74383865417702,40.511663621134346,0.45478355595542297
23,24,22.114054674058497,34.011172025642225,0.6157039831852386
