,horizon,MAE,RMSE,R2
0,1,15.708428598738292,27.827166367634305,0.7125280847216733
1,2,26.698180080290573,44.07111654708498,0.27897483316217453
2,3,35.1479870005735,54.79157304839117,-0.1144475624256367
3,4,41.39689734276429,62.30275391430803,-0.44110774751782444
4,5,45.73492066526477,67.6418334166652,-0.698603654864635
5,6,48.53227298795642,71.18022662856788,-0.8809349239432276
6,7,50.236400305868855,73.04876202377346,-0.9813596922224854
7,8,50.66540623207799,73.32910674463692,-0.9979924354300538
8,9,50.12127509080482,72.31545563267049,-0.9445402547720689
9,10,49.04986618237431,70.27430609254264,-0.837719159914478
10,11,47.776197667749955,67.92354727867762,-0.71811824841996
11,12,47.23630281017014,66.79740045589976,-0.6628226192885942
12,13,48.01010705410055,68.24909842373626,-0.7359393143952659
13,14,49.48766201491111,70.91824367232181,-0.874431054921897
14,15,50.85435671955649,73.23817148152703,-0.9989808860753844
15,16,51.435884152169756,74.5834838580534,-1.072915653102608
16,17,51.253853947619966,74.7539605858121,-1.0827871735566443
17,18,50.04050277193654,73.50555379943408,-1.0181236833186085
18,19,48.02423628369337,70.74289765218748,-0.8700994959984034
19,20,44.86113362645765,66.52340776618293,-0.6537732181288496
20,21,40.44543873064423,60.77712851701888,-0.3804192302610243
21,22,34.94698528006117,53.673936818495726,-0.07660719053469345
22,23,29.17688013764099,45.776636058078026,0.21689696377372736
23,24,25.58924297457465,41.212139146355206,0.36527764998361
