,horizon,MAE,RMSE,R2
0,1,2206.294247635634,3623.208998723767,0.9157037059352487
1,2,4367.167859882623,7035.265651815692,0.6821789412095591
2,3,6442.582469234182,10107.271187244705,0.3440279058827672
3,4,8397.32456146951,12777.678295860404,-0.04832728755854876
4,5,10182.7866731472,15032.533245831015,-0.45083646891532747
5,6,11796.106208103805,16883.254638356273,-0.8300333219976186
6,7,13152.646929066334,18353.00707954383,-1.162966766795535
7,8,14310.482261764862,19470.953433569928,-1.4355142584219314
8,9,15201.4020217792,20271.10282389957,-1.6410105362774186
9,10,15835.225753530936,20792.999319625465,-1.7798732813665237
10,11,16245.716680963551,21080.044246787565,-1.8581340096695538
11,12,16340.601537158158,21169.120251585085,-1.8831707969417528
12,13,16241.531175136939,21075.18486287521,-1.858294386611437
13,14,15823.932620971962,20784.274753849386,-1.7803072917618512
14,15,15195.095864864463,20261.53983555544,-1.6421776693057604
15,16,14298.655120562798,19466.544068941806,-1.4386954000925667
16,17,13162.124493161346,18364.109940911276,-1.170172732446371
17,18,11819.966283226915,16927.05225255244,-0.8437866509362231
18,19,10259.140626425922,15135.771646190198,-0.474201956674271
19,20,8533.479400984708,12982.245849075282,-0.08454475662550243
20,21,6687.29851593443,10486.397217082947,0.2923794524356558
21,22,4785.101035481552,7743.148223245404,0.6141815342287061
22,23,2963.1158642592236,5086.498833479682,0.8335109078878808
23,24,1786.9400967999109,3741.551979635516,0.9099152058081368
