,horizon,MAE,RMSE,R2
0,1,18.690257981265535,33.62525111583649,0.8517345689048783
1,2,33.26488902695469,56.53659930115772,0.5808512301955066
2,3,46.18200234180845,75.87269835107082,0.24512033864432325
3,4,57.48411087746129,91.88873018696954,-0.10716821559130696
4,5,67.83961412731792,105.15009596431555,-0.4496962918288543
5,6,76.88713716306633,116.00830683170956,-0.7644209648643869
6,7,84.5968911298031,124.5361280769308,-1.0332203196261522
7,8,90.69011283693366,131.12695138573417,-1.2540216840343272
8,9,96.27677829286942,136.43451259121315,-1.4403089713401962
9,10,100.47215006690882,140.4904109984268,-1.5878989179580731
10,11,103.79514098642709,143.02568996055857,-1.685411320795208
11,12,104.48391574268783,143.86479164501475,-1.7198620550956951
12,13,103.74674034601415,142.95285514382127,-1.687118658443174
13,14,100.5126963773657,140.39367273667287,-1.5918570992384162
14,15,96.33459481934622,136.37172462699723,-1.4453665776513027
15,16,90.86981117377175,131.20939897392608,-1.2636001132595687
16,17,84.74792071305679,124.78193408971953,-1.0471977548082299
17,18,77.58428541387882,116.89982618097557,-0.7967162313411298
18,19,69.63574053718217,107.60675494047906,-0.5224057096325754
19,20,61.01193744025999,96.97732715643733,-0.23649326412651828
20,21,51.66380400497037,85.05396418453307,0.048868742080076744
21,22,41.76298704836551,72.90977042867334,0.3010875188513512
22,23,32.42821358248901,63.2356947888613,0.4742540644831218
23,24,26.58776070541005,59.714477903410454,0.5311751604504589
