,horizon,MAE,RMSE,R2
0,1,1469.1974765819155,2684.253739571887,0.8841850509231974
1,2,2901.7813037660103,5002.236770226901,0.5978058509246971
2,3,4303.5566813228825,6898.2187471534035,0.23515794057568307
3,4,5669.413114127318,8474.28163416015,-0.15423852267797988
4,5,6991.528770789524,9820.939805222777,-0.5501517035732808
5,6,8247.006308545211,10980.749864464176,-0.9376409156934493
6,7,9407.093863506021,11960.963264202783,-1.2992764395586196
7,8,10421.495316383101,12759.07808802344,-1.6172452842171103
8,9,11285.052571210093,13379.218221035157,-1.8792674472181723
9,10,11893.668896960427,13828.64822695063,-2.077673799566822
10,11,12357.289810743643,14106.587216433945,-2.2040573790867604
11,12,12437.779965589754,14201.705183515112,-2.248513297682111
12,13,12358.28369336647,14106.913438591288,-2.20614903540951
13,14,11893.976103995412,13829.525229798337,-2.0819766052409863
14,15,11289.670426304721,13381.097120846349,-1.8861756602242479
15,16,10432.737143949531,12763.221388468099,-1.6268232052351461
16,17,9433.810743643662,11971.793134548925,-1.31152194650232
17,18,8301.22271076276,11006.351173832687,-0.9534850981666472
18,19,7086.367616134582,9870.670615695557,-0.5710442140237573
19,20,5812.5891798891225,8559.695739696843,-0.18140363589671038
20,21,4514.590135729306,7042.880477841272,0.2002217931670761
21,22,3222.173198241254,5267.499682231896,0.5526316161058974
22,23,1984.140317338941,3278.480447106093,0.8267036031207509
23,24,1078.232077996559,2028.3213526122574,0.9336705132793236
