,horizon,MAE,RMSE,R2
0,1,44.734031112597975,78.37374185601391,0.9247276377585599
1,2,88.3802166889696,152.3531910849251,0.7155563262895515
2,3,130.148937583636,220.36982634849122,0.4049036910665146
3,4,169.69285074555535,280.3021359061466,0.03726057466719379
4,5,205.41644155037275,331.32779693125093,-0.34507802744631255
5,6,237.7929473809979,373.12775231973376,-0.7059757551836667
6,7,264.74326992926785,405.93947269065416,-1.0197214326861417
7,8,288.0529237717454,430.40606898678703,-1.2714979018215762
8,9,304.6470448766966,447.5206459585825,-1.4568588755182241
9,10,318.1098915599312,458.4808069264289,-1.5797604603741848
10,11,324.4281038520359,464.4608991091793,-1.6483918458008069
11,12,328.0687888071115,466.32862525197163,-1.6703041749525425
12,13,324.43956910724523,464.42462640006534,-1.6487509252541375
13,14,317.8933316287517,458.4940487034873,-1.581459905953496
14,15,304.78940986427074,447.76808223849366,-1.4619234159720493
15,16,288.03629946472944,431.1914947119021,-1.2828777214746818
16,17,265.51283000382335,407.7233819369482,-1.0410696745704033
17,18,239.23638668514621,376.60188475545255,-0.7413484389671912
18,19,208.53367142993687,337.4943336726736,-0.3984693513616906
19,20,174.55089629134008,290.72898340317806,-0.03775917914161986
20,21,138.4963057732747,237.61534830337624,0.3067835391362116
21,22,101.82037578856816,181.6169918575445,0.5950206970329059
22,23,67.78124498183904,131.58968510771433,0.7873998583292248
23,24,47.158806394570824,109.23384461507085,0.8535011292573073
