,horizon,MAE,RMSE,R2
0,1,1132.6237021778177,1976.353724979755,0.9749186411022953
1,2,1662.6386558200998,2720.248705943012,0.9524841073181536
2,3,2075.5156676659476,3268.688055600467,0.9313936239190848
3,4,2260.204228515518,3641.9368592653,0.9148356540781346
4,5,2301.2885525455195,3744.6176351445915,0.9099737678251116
5,6,2303.699614377552,3810.5295819697385,0.9067782328688272
6,7,2419.8792619159394,3954.175092789981,0.8995968878165754
7,8,2467.7723589942652,4083.2332814900433,0.8928913303169809
8,9,2551.4986623391997,4170.207882664133,0.8882285743567545
9,10,2479.6613028285656,4061.240640968323,0.8939506117282341
10,11,2452.8457000861354,4179.323373410157,0.8876555808661262
11,12,2412.9637702197892,4007.4090628626545,0.896678166918397
12,13,2362.6125053681512,3988.6428573979856,0.8976201536067347
13,14,2354.882103112158,4009.0139931457743,0.8965576940657096
14,15,2321.1284294160537,4034.5597150167123,0.8952366402431068
15,16,2320.736187562911,4021.8876801289007,0.8959026388885628
16,17,2274.8836512536473,3944.249664309591,0.8998886475077179
17,18,2299.023238376714,3922.646054517456,0.9009838028755006
18,19,2442.971073421669,4008.9814067767693,0.8965772852067224
19,20,2372.6603981793987,3845.723631859798,0.9048291468502676
20,21,2099.1515691066725,3621.3570852700905,0.9156100892132923
21,22,1849.8810074030619,3488.9682185928154,0.9216675173998345
22,23,1756.7942721805819,3481.2266797371094,0.9220147456277377
23,24,1870.9480403112711,3621.462513002149,0.9156051564076099
