,horizon,MAE,RMSE,R2
0,1,201.97557532239531,355.58517536133127,0.9640407881032386
1,2,289.63997191268345,488.96140215751427,0.9320057750599853
2,3,349.22268146696933,579.9286957480241,0.904354409266611
3,4,383.3967101033332,637.7283795291042,0.8843494100996945
4,5,401.1646650954326,657.0697150140245,0.8772346021547026
5,6,417.6672667031237,672.4396033075525,0.8713955067621549
6,7,434.15144269781115,697.0069903019312,0.8617492447265139
7,8,425.86754996599166,694.8320076408722,0.862530978996254
8,9,419.5265974021054,699.0420182211337,0.8608214153523355
9,10,415.3529754602597,703.9970312755202,0.8588170389836274
10,11,413.2320277628859,700.9726634546756,0.8600078309614663
11,12,426.9545504511616,715.3501311601859,0.854185855089604
12,13,420.73204842621726,709.9905193039405,0.8563320468556576
13,14,427.1911991948101,714.3850828581413,0.85452831061385
14,15,433.57266623445486,721.3896047123905,0.8516670850754195
15,16,431.2031871095268,719.8154697406519,0.8523244488933595
16,17,433.58119058140693,718.5774481759016,0.8528333915963878
17,18,430.6900681669444,708.0455775382645,0.8571156893414392
18,19,417.0323874448424,686.39997762152,0.8657183601445533
19,20,395.44242492221014,652.6213080453789,0.8786095242163683
20,21,350.2131221058822,598.7434500694806,0.8978252306800115
21,22,304.8962939098706,556.1792167578695,0.9118359307118696
22,23,270.97514796385565,535.5975549822529,0.9182403005289232
23,24,288.74053539259813,549.178922311211,0.9140413005773488
