,horizon,MAE,RMSE,R2
0,1,942.7564685455109,1570.9977986664203,0.9603294117957489
1,2,1290.115717873305,2108.4096181346713,0.9285475314832502
2,3,1553.6186941474637,2500.340159178769,0.8995162045251359
3,4,1713.4687361031959,2713.277174201789,0.881674567420256
4,5,1817.064701751299,2827.4284916474326,0.8715153151456088
5,6,1900.3056003691886,2935.9486011125996,0.8614820053079484
6,7,1969.0723347531703,3026.904813445811,0.8527496268269884
7,8,1996.945045710117,3081.132715138982,0.8473746595360131
8,9,1971.2556338136817,3065.462926357559,0.8488484278153872
9,10,1978.3241289872508,3092.8087618879244,0.8460536972706751
10,11,1986.7480880161518,3109.3309770105757,0.8443352510851935
11,12,1993.134671334423,3110.0607845416475,0.844209339835126
12,13,1957.695807067301,3071.810224257349,0.847977291258025
13,14,1944.818539069137,3044.7237389845272,0.8506137647696267
14,15,1961.6834715851815,3045.2395940494307,0.8505202888944908
15,16,1955.3412898197112,3029.8747207159895,0.8519666448338945
16,17,1905.297430706489,2963.5250024039824,0.8583564494460774
17,18,1777.9236652898462,2832.0612601188172,0.8706612503330894
18,19,1697.0693146302133,2717.6280211757885,0.8809100503040549
19,20,1590.912619025854,2554.638048795101,0.8947697989018979
20,21,1438.2480461229372,2317.5505631918472,0.9133981108801768
21,22,1211.0673622472796,2012.5086300258233,0.9346972071732124
22,23,1035.0603625712313,1851.629409454345,0.9447219801502519
23,24,1091.0479687438929,1928.1285841426022,0.9400616066595522
