actual_price,predicted_price,actual_P,predicted_P
64.84,70.422745,13.5075,42.51684
67.62,70.45677,14.465,60.498463
66.49,84.64613,477.265,175.47672
76.33,92.5489,3359.1475,2682.7583
88.97,91.88537,8844.182499999999,8260.516
80.28,90.08001,16230.885,14206.98
55.08,69.72056,24016.4225,23885.488
13.44,39.782246,28666.5975,29450.352
8.24,8.439808,28710.71,32589.842
4.05,2.770793,26861.1975,30922.955
3.56,1.084667,25226.5325,26751.88
2.78,6.79516,23850.84,24842.92
6.8,15.901329,22168.4275,20703.607
48.66,21.873192,19371.3425,18792.203
81.06,66.6402,13875.2725,15187.714
103.75,100.24198,8228.65,9633.589
126.6,124.14689,3620.5375,4796.769
139.51,140.68634,815.97,1210.6738
119.06,137.41206,34.745000000000005,-26.820972
102.54,113.94039,19.4375,-31.115925
84.1,95.26214,11.485,-31.115925
73.92,77.84221,9.8425,-31.115925
63.86,67.05119,10.1125,-31.115925
59.36,63.898087,11.62,-1.7008327
54.73,58.229954,10.455,-1.7008327
57.75,56.00544,11.245,-1.7008327
63.1,68.36158,143.1675,228.2131
83.68,80.779175,1187.6875,2781.3599
95.29,91.98999,3252.39,5263.0225
96.18,88.13709,6489.035,6508.028
87.36,78.15874,10215.1775,10739.044
70.31,66.33604,14430.25,14848.658
61.57,51.344784,18121.835,18499.4
49.32,44.62841,21096.0725,19863.322
42.4,34.629883,22315.3225,22080.027
34.3,34.415787,22054.3,22016.527
29.48,38.85006,20282.4675,19067.945
51.1,46.241558,17799.4075,17137.188
66.54,69.83324,14531.0725,12487.668
91.04,86.5393,9686.495,8753.132
111.92,115.46529,4872.1025,3674.839
135.62,127.83213,1418.8175,1085.5592
135.2,122.18966,121.3975,13.358089
118.94,115.27535,40.045,-18.18346
102.41,103.07991,13.65,-15.599068
98.11,90.88923,15.255,-8.358858
93.09,85.89087,13.355,-2.5552502
92.24,86.99076,10.5325,35.806255
90.4,87.662926,11.67,48.59064
90.92,89.70618,16.15,48.59064
91.86,97.06021,524.995,77.66958
89.78,108.641815,3518.39,1415.775
85.3,98.771904,9513.415,6099.6416
78.92,80.42444,17542.5825,14362.924
52.28,71.31222,25862.78,22966.486
13.15,41.854027,31798.8225,30152.287
0.83,9.181394,35658.8525,34437.68
-0.53,-4.8317456,36677.3075,36556.375
-1.58,-4.5426097,34042.8875,35440.438
-1.85,-3.0809712,30249.8275,32192.193
-1.53,5.693361,25504.1525,26705.525
-0.41,16.986015,19978.5275,21168.742
29.89,28.406399,14733.4525,14379.773
69.21,57.120827,8673.8525,9380.461
85.78,90.9572,3786.4275,5021.193
84.79,93.65131,965.81,1528.6981
84.33,86.382866,78.7475,21.737652
80.26,80.8274,36.1825,-31.115925
62.98,72.84332,11.35,-17.396034
49.95,61.412514,11.2975,-2.5552502
35.4,45.846004,9.915,-2.5552502
39.95,35.37331,12.64,32.17299
38.99,43.521328,11.2175,49.85539
41.6,42.724384,13.2075,65.21259
55.97,59.354374,314.0325,369.1862
64.86,77.30933,2685.565,3593.8105
69.36,78.23159,8352.1425,8977.203
50.85,64.688255,17234.135,15622.608
21.68,35.488613,27104.25,24639.334
1.0,7.6438236,34165.435,32161.111
-0.24,-7.231608,36847.625,37182.38
-2.8,-5.349726,38563.740000000005,37868.848
-5.87,-12.059784,38770.835,39047.445
-8.25,-6.225279,38394.8975,37518.8
-4.56,-2.8012116,36350.4375,33887.14
-2.5,12.571986,32014.08,30453.654
6.67,21.639397,25914.86,24746.732
68.2,37.63702,16197.05,16631.85
111.93,92.73403,6931.59,7439.2334
131.15,128.92996,1819.1775,1566.272
137.82,124.019455,129.695,85.146
128.1,125.45843,40.5525,-18.772053
109.08,110.60079,23.665,-17.11893
106.5,97.03024,22.5275,-17.11893
101.54,94.594505,12.065,-17.11893
101.38,92.83483,10.5675,63.123333
100.82,93.10981,10.2475,61.06441
100.09,94.34561,19.18,79.62208
99.28,98.07621,603.3074999999999,191.3226
96.17,97.019295,4126.1975,2881.0393
90.2,84.6407,11862.5,9239.004
61.4,72.83459,22410.105,18556.256
7.5,41.524277,31879.335,29454.578
0.95,-5.0274677,38605.5,37738.414
-0.95,-9.848949,41462.16,41558.387
-5.23,-10.382974,42898.5225,42622.21
-12.44,-13.545396,42288.5175,41523.793
-9.67,-16.13615,39033.5275,40234.15
-2.93,-5.7931027,33864.5,35639.06
-0.71,15.954758,27872.845,28415.982
45.24,27.5031,20617.16,21814.887
94.84,73.125,11504.555,13183.182
127.85,116.67686,4908.985000000001,5221.838
179.71,133.23271,1422.73,1424.2076
177.97,160.81236,127.28,-54.73425
130.17,160.29832,32.972500000000004,-35.228573
105.55,116.28961,19.815,-37.904438
91.68,96.56597,16.695,-6.376166
86.5,85.4761,11.3025,7.928356
78.89,82.86084,7.75,28.689861
75.73,77.278465,6.755,62.563667
73.89,75.34718,13.47,28.689861
66.07,75.52513,408.6875,257.21323
51.88,66.56073,2638.165,2845.045
36.08,45.33025,7143.235,7342.1885
18.71,20.483162,13267.3475,12409.578
10.6,6.6700106,19988.475,20359.242
3.62,-0.9788831,25829.37,27042.766
-2.54,-6.886551,30223.1775,29473.705
-9.78,-13.567099,32605.8725,32126.244
-16.31,-21.891932,33526.0075,31660.805
-22.32,-21.520838,32110.1775,30933.178
-17.94,-11.408924,28599.3075,28560.98
-10.37,-1.0796063,22613.7925,24679.576
-3.23,11.010977,16995.195,17400.506
28.49,24.493967,10940.15,10558.487
77.05,65.87902,5598.945,5686.9385
94.41,103.18347,1687.77,1362.7589
100.88,103.84876,107.815,107.37385
99.17,102.42656,18.3075,-39.64351
88.26,93.50333,8.932500000000001,6.028909
82.99,85.18907,14.9825,1.4577609
76.53,77.90081,9.1725,6.028909
78.28,76.494965,6.9225,75.51608
79.78,78.85506,6.68,71.4346
83.02,80.8027,15.3425,61.99772
88.2,93.9318,484.42,146.49634
111.14,106.90302,3197.3225,2792.5303
125.61,122.32396,8348.2025,7605.5107
108.18,121.92314,14910.9675,13904.718
86.14,93.56406,21194.115,21985.08
62.09,73.42544,26577.0275,27144.682
43.26,52.020527,29730.565,30110.365
28.0,37.928825,29853.3525,32038.572
17.72,23.058838,29221.65,30105.21
12.3,21.340124,28222.7975,27915.953
21.8,25.665306,25232.4475,25326.754
53.66,38.262222,21375.595,21563.357
77.33,71.69956,16154.1075,16101.298
98.12,93.05553,10592.265,11032.835
127.89,121.38758,5332.1725,6074.2173
190.18,144.69556,1821.7575,1856.6825
205.23,177.3329,173.1975,123.1858
133.78,179.39243,11.845,-0.04805194
109.2,116.79641,6.93,-0.04805194
109.95,99.30256,13.1925,5.462959
105.88,99.79283,8.5525,5.462959
99.48,100.477394,7.0725,28.123905
96.61,97.20054,7.37,49.51221
95.76,95.383095,12.7675,49.51221
107.25,103.834114,525.9,376.18155
126.89,119.92455,3413.505,3459.0354
113.93,133.23308,10045.795,9438.849
91.24,107.105835,19462.755,18071.086
62.98,79.5404,29522.14,27494.695
11.5,51.172634,37032.59,35838.758
1.25,8.78536,39457.2225,39111.64
0.44,-2.7235715,40517.935,40584.844
-2.21,-4.4879494,40174.8375,38615.38
-1.87,-4.1490045,38559.337499999994,37764.395
1.29,7.5187025,34914.1625,35416.312
6.42,19.873833,29625.9675,29079.553
66.6,37.003094,22224.5625,22451.879
91.92,89.936554,13367.7825,14154.197
111.0,118.95024,6022.4349999999995,6592.9077
141.2,135.2933,1808.3475,1447.4525
124.01,145.16325,106.0825,114.027534
105.69,115.71824,8.645,-14.611729
93.78,95.830376,6.2125,1.3686897
79.98,87.893326,6.5075,-23.097708
74.36,75.52628,6.2925,5.462959
68.68,74.40078,6.5125,51.029774
71.02,70.20021,7.1925,55.600914
72.52,71.6313,17.384999999999998,57.283585
84.19,83.102135,500.355,250.07889
99.91,102.883965,3347.8824999999997,2776.2566
112.58,107.63497,8953.5975,8288.968
103.8,101.860954,14959.2275,15527.744
78.49,86.77907,20055.3125,21267.63
64.58,60.486614,24215.675,25232.355
39.28,48.221695,26366.4925,27873.732
20.57,25.6629,26542.4125,27793.26
17.31,12.564892,25642.985,25952.578
24.12,15.979161,25886.2075,24985.78
47.03,29.537823,24846.2325,22899.021
71.02,56.075268,20767.535,20245.246
88.51,83.58189,14604.41,15561.861
105.0,105.76255,9094.885,9780.283
138.25,123.15878,4475.295,5093.833
183.34,146.53836,1345.2075,1702.6298
150.38,162.14305,98.2475,-18.54925
117.99,129.57146,11.01,-41.474197
101.01,104.451515,13.61,-28.608727
95.97,93.344574,20.0275,-0.34064877
91.5,87.415276,8.6325,-10.165242
87.78,89.59077,8.290000000000001,48.35511
86.64,86.23501,6.5025,37.387146
86.87,86.875694,15.6375,36.44728
90.4,96.203224,479.785,298.56793
114.8,104.25024,3057.445,3390.5217
129.9,117.99638,7830.879999999999,8274.634
117.94,112.70585,14081.035,14241.477
84.55,96.65683,20319.0725,20898.152
61.48,63.47646,24286.83,25949.17
43.37,42.61498,26767.985,28307.9
17.88,29.574337,28295.8725,28421.838
10.59,8.463018,27991.76,27720.025
9.59,9.349603,25841.8875,26822.68
21.3,18.834461,22912.0325,23005.879
51.08,39.850544,19864.495,19009.547
78.11,70.17351,15629.21,13823.536
99.18,96.39625,10083.525,8855.584
113.85,125.41406,4971.2474999999995,4673.3228
133.15,136.269,1467.7525,1434.9241
112.05,131.42188,94.9825,-5.9632516
95.58,103.43714,16.6975,-27.668869
80.47,87.429596,12.895,-27.343987
76.15,73.830246,17.215,-27.343987
65.81,71.35295,8.57,-27.668869
60.98,65.69925,6.5825,-4.9157095
54.24,60.683716,6.165,-4.9157095
51.64,56.90463,7.9025,-4.9157095
59.3,59.767124,237.9825,224.99823
67.59,76.3479,1875.92,2467.502
73.88,79.665344,5872.3925,6143.904
58.35,69.40671,12558.4325,10857.181
12.67,45.97717,20563.182500000003,17233.861
0.81,3.4508154,25392.3325,24011.705
-0.59,-9.005912,28709.379999999997,28639.262
-3.04,-12.287082,30465.7375,30733.373
-6.52,-12.217689,30678.985,29938.676
-10.19,-10.360703,30019.065,28483.537
-6.55,-6.002979,27450.2875,26699.037
-1.99,8.7514105,24542.3475,22424.854
1.08,22.537085,19608.9075,18022.484
57.63,30.947172,11899.2925,13050.364
92.59,84.217354,5661.365,6255.974
120.1,113.77728,1804.535,2024.6626
128.66,117.189095,135.22,108.50611
119.47,119.60443,34.8775,0.89181024
101.27,106.03412,22.53,-23.097708
90.65,94.42221,16.225,-15.819584
85.14,82.143936,11.4725,-4.9117985
80.69,78.19043,8.3675,29.524067
81.66,76.32895,7.07,50.655865
83.63,77.05549,13.675,18.046791
87.92,82.933014,502.18,199.83383
86.14,88.08298,2927.11,2261.2732
85.67,80.15176,6966.1525,7688.59
78.48,69.11987,11801.47,12591.259
59.28,57.49399,16412.475,17791.14
29.41,38.12513,20240.155,21732.611
8.57,15.052338,23167.555,24770.574
3.18,-3.9328797,25136.5725,25430.412
-0.77,-5.526312,24382.6275,25114.027
-1.45,-6.7936883,23699.1975,22959.207
-1.81,3.5366466,20960.2925,20926.303
-1.45,12.624356,17686.752500000002,17139.871
22.74,19.748037,14757.3625,13095.788
66.19,44.36173,10124.8825,10442.295
87.4,93.38853,5410.455,5743.3545
107.05,110.537605,1725.185,2053.412
108.27,114.62539,121.7075,104.79827
94.95,108.61605,43.875,-22.531755
80.45,90.20528,16.5925,-22.531755
84.38,76.19027,14.1775,6.028909
71.4,78.79369,14.66,-22.531755
60.56,67.99088,12.78,37.953094
48.77,58.6658,8.3225,16.782047
41.96,46.919666,17.3625,33.157337
34.48,47.225864,371.865,320.44363
20.16,38.006466,2242.855,2667.8945
1.81,21.917015,5718.4425,5240.463
-0.5,0.42055923,10423.685,10409.018
-2.77,-12.4030695,15045.7625,17197.752
-7.29,-19.082386,19131.9175,20360.457
-16.29,-27.598078,23479.34,23519.34
-44.27,-30.03977,27100.79,24941.424
-59.04,-64.00297,28175.795,26434.96
-65.77,-64.2527,27197.155,26576.045
-61.77,-48.66132,25802.63,23652.557
-45.9,-30.27603,21953.567499999997,21086.709
-18.25,-24.624754,17273.03,15635.088
-1.41,6.771827,11405.2975,10493.34
23.83,27.096973,6008.79,6396.736
44.17,45.753075,1932.215,2121.9397
58.04,52.67993,135.175,121.93755
62.9,59.654926,17.985,-28.042778
51.26,60.359146,11.0775,-5.2857084
20.95,45.40953,6.4475,0.51789737
19.12,23.36726,6.46,7.0154943
9.95,21.532957,6.6625,40.288544
13.59,14.774258,7.1575,40.288544
20.61,22.119904,16.4775,40.288544
29.45,36.090984,567.9449999999999,331.8111
37.61,54.192177,3916.135,2755.7185
37.13,54.699642,10834.865,8949.115
13.95,40.612076,20473.8025,16330.569
1.54,14.976653,28502.74,26380.86
-5.09,-3.8378599,34918.43,33371.207
-9.23,-8.636068,37789.1375,37070.63
-20.3,-13.747476,37811.33,38462.867
-32.1,-17.890675,37703.2125,37251.688
-30.19,-43.16246,36823.905,35975.75
-17.11,-34.86853,34273.55,32226.352
-8.16,-0.2027095,29670.865,28410.57
4.1,11.080253,23675.6575,22744.855
52.02,35.60339,15312.6775,16200.459
101.29,76.763336,7291.1725,8380.242
119.25,120.789734,2314.4449999999997,2494.0068
128.61,118.88456,183.4775,166.80801
115.84,118.36187,28.4175,-23.097708
95.87,101.11194,9.2225,15.348037
90.32,89.09706,13.16,5.462959
81.51,83.75955,8.7275,5.462959
74.73,79.126236,7.8975,38.008976
69.93,73.70073,6.8125,28.123905
66.94,71.042946,13.06,65.63099
76.09,79.245605,573.4525,330.09796
100.43,92.81954,3763.46,3237.1262
104.13,106.810936,9184.07,9252.348
85.27,92.19926,15843.955,15456.578
69.5,68.282814,22203.3275,22666.715
20.61,54.78093,26382.335,28178.24
7.25,13.850294,29180.13,30246.662
2.82,2.863261,29568.96,31090.314
-0.68,-0.7209795,29027.075,29540.37
1.5,-2.5352314,26475.96,27753.61
1.41,8.064035,23145.9475,24226.654
11.5,15.024875,20018.34,18995.18
57.91,37.223488,15481.79,15434.724
79.14,75.33093,10336.3425,11330.643
98.29,98.60112,5277.945,6224.9375
112.61,117.26973,1696.4275,2065.8826
113.45,113.862305,136.5775,125.673195
110.32,106.53583,27.8325,-0.04805194
98.16,98.32709,13.8325,-15.67626
69.59,88.59055,8.737499999999999,-0.04805194
