actual_price,predicted_price,actual_P,predicted_P
85.92,85.0018,0.0,4.960653
89.02,90.26099,0.0,4.960653
95.86,104.289024,112.0,80.631004
111.66,109.15861,858.0,948.9351
94.02,106.81715,2389.0,1942.7733
62.59,76.39824,3858.0,3591.0361
35.0,50.74198,4837.0,4658.0625
4.51,26.18149,4715.0,5331.5967
3.43,3.005898,3690.0,4905.926
1.32,6.204769,3461.0,3725.4573
2.94,7.440033,3522.0,3308.3674
8.43,11.354309,3516.0,3219.9888
18.82,28.173233,3649.0,2986.0967
61.0,41.421646,3017.0,2915.7947
92.0,80.25383,1702.0,1897.8312
117.2,117.841805,628.0,823.78424
143.95,156.0892,64.0,77.084625
218.84,184.47311,0.0,7.9610453
148.57,184.67911,0.0,-5.285326
118.86,133.39912,0.0,-10.401924
99.37,108.53304,0.0,-10.401924
92.02,106.03596,0.0,-1.3916954
76.94,99.77222,0.0,-1.3916954
74.1,88.72954,0.0,4.9378905
69.61,85.76426,0.0,4.9378905
73.3,91.0676,0.0,1.51146
84.18,99.519485,111.0,81.993484
98.79,106.968994,807.0,759.6749
102.78,104.53747,2039.0,1511.3563
85.52,83.537,3370.0,3215.8123
21.36,69.76374,4344.0,4295.4683
15.64,18.020369,4883.0,4768.4844
18.01,17.849602,4796.0,5059.516
31.59,22.535696,4708.0,4565.9565
27.06,32.11604,4467.0,4232.4995
52.0,28.298775,4100.0,3874.06
59.56,68.41269,2991.0,3316.9446
76.13,73.99577,2445.0,2133.3093
112.06,99.4238,1503.0,1509.4452
130.9,135.01009,595.0,577.43896
141.38,163.39085,91.0,46.90987
172.95,187.0501,0.0,-1.0491836
138.98,152.69081,0.0,-10.401924
124.41,127.5129,0.0,-8.158556
110.83,117.9579,0.0,-5.285326
96.74,102.20887,0.0,-1.3916954
92.31,86.23054,0.0,-1.3916954
90.42,83.00474,0.0,4.9378905
89.99,82.81436,0.0,4.9378905
89.78,84.75511,0.0,4.9378905
90.25,95.2981,132.0,78.45673
98.77,102.14915,890.0,701.59906
82.37,102.32981,2283.0,2010.0875
59.6,72.93643,3610.0,3416.7075
30.0,48.722313,4716.0,4513.8506
18.0,25.287392,4934.0,5228.536
2.94,17.044865,4777.0,5186.2715
5.61,6.7048297,4624.0,4784.201
10.53,11.87455,4272.0,4316.4253
12.05,23.100693,3623.0,3711.475
19.75,36.75219,2760.0,2897.022
33.63,41.20054,1922.0,1977.0231
82.45,62.59514,870.0,1090.834
108.54,109.99381,294.0,429.90057
110.03,132.72726,35.0,52.14562
105.98,139.76566,0.0,-8.16319
104.1,111.372185,0.0,-10.401924
102.69,103.844986,0.0,-8.158556
85.68,99.3633,0.0,-4.964472
73.19,90.629616,0.0,-10.401924
57.81,80.28815,0.0,-10.401924
41.35,65.74995,0.0,-6.617086
33.95,47.972797,0.0,-6.617086
37.39,43.23111,0.0,-6.617086
57.25,58.976868,78.0,64.541306
84.99,83.09224,468.0,747.75616
64.0,90.5585,1119.0,1239.5269
53.01,55.671883,1901.0,2093.356
29.13,43.9728,2434.0,2786.975
2.94,16.668304,2697.0,3172.1765
2.94,1.0852036,2551.0,3125.3662
4.02,5.446201,2533.0,2806.4163
0.77,5.6347976,2446.0,2506.9414
0.04,5.322185,2349.0,2185.3843
0.12,17.630777,2261.0,1926.7422
0.14,23.27132,2106.0,1550.0192
29.2,30.663511,1415.0,1089.2141
80.72,57.813198,611.0,422.93
58.04,103.79046,105.0,47.912033
57.84,89.66338,0.0,5.4834814
51.52,75.44604,0.0,-1.3916954
85.0,68.8526,0.0,-1.3916954
85.0,83.30692,0.0,-1.3916954
