actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
20.0,0.0,1,1,5,0,100,20.94478,29.765556,55.61295,67.88151,76.48214,66.2492,53.63963,38.25345,23.395254,15.563518,8.653493,17.733068,32.160294,64.520195,92.96395,109.9375,111.12186,98.73528,87.86909,78.32515,71.95599,65.67765,58.762028,50.823452,0.9382168,2.4739954,10.707252,41.40494,94.71052,144.36952,181.68967,204.80775,214.20923,213.96837,214.60268,204.45563,182.5295,150.62372,98.60205,49.557976,16.628187,9.653297,5.039216,2.752625,2.0082314,2.0085156,1.4813185,1.7269768
16.4,0.0,2,1,5,0,100,25.756584,49.098946,71.09207,69.1851,70.003746,49.620377,37.36897,21.972218,15.460099,12.967489,11.792406,32.624393,55.677372,87.64306,106.18045,110.00489,100.7159,88.61919,78.33426,70.988106,61.988342,55.945427,51.786514,51.269196,1.1529514,8.894932,29.063335,79.778854,136.28798,175.38,202.2598,212.60431,215.49306,207.67863,192.72981,171.32957,143.66554,99.11712,54.22823,27.064148,15.031124,10.586172,5.527709,3.4160705,1.6067299,1.9611073,1.4813185,1.7484659
45.5,1.81375,3,1,5,0,100,65.88213,78.12887,69.19482,49.35541,40.71133,29.385508,20.305576,6.1552267,15.940554,17.457403,32.66515,54.586983,78.859985,96.806885,108.89791,98.16158,87.645004,77.89286,73.1965,64.979355,57.116203,50.358784,52.582874,62.267654,17.866175,54.507084,118.67294,160.19147,182.63733,193.01941,203.10616,201.66188,189.30437,185.24495,169.81593,136.19154,91.24107,44.278606,18.645117,10.381304,8.010814,8.30188,4.4222965,4.0745206,2.6085286,3.3431923,1.4813185,3.1529567
51.4,17.06775,4,1,5,0,100,54.683083,47.296577,38.31313,39.0557,23.393518,12.669364,9.814302,11.191497,24.774366,40.076405,60.95174,80.350784,103.06601,107.31704,94.31724,91.76289,81.884735,78.61044,72.11863,68.70775,62.319874,59.278004,69.405266,75.577065,61.32769,108.662994,152.67963,180.72063,191.52794,193.04524,191.2054,192.04312,182.66031,163.59267,129.04456,91.74869,47.075325,18.497128,8.100437,4.8817787,7.9656253,7.745593,3.706918,3.7957072,3.2137985,3.398707,5.0473204,27.876745
65.23,40.832,5,1,5,0,100,59.14654,44.963383,31.51194,16.283266,4.3100557,2.27484,12.086583,18.94368,37.800327,60.31956,80.85468,99.81524,111.95229,97.09767,82.15205,75.99316,71.3625,66.41481,62.528946,56.709846,49.059536,53.159786,69.21494,77.58012,102.75926,146.0258,185.78255,198.84721,208.57008,212.5781,203.63991,186.48984,172.88509,134.15227,82.2917,40.336163,20.863977,10.310596,3.1953523,5.904253,7.4451118,8.102553,4.393165,4.792551,3.0725567,11.568131,27.766766,69.166405
65.77,51.523,6,1,5,0,100,50.639362,31.580389,24.331888,15.4946785,8.640513,1.3734288,5.921132,23.804602,49.355263,66.140945,77.52177,86.20601,87.12114,83.65843,68.649895,64.22872,61.050373,55.10073,54.266407,48.86195,54.227882,59.24327,69.57052,66.25567,102.72531,138.0283,163.28058,175.71649,182.15027,190.64801,176.145,160.22807,117.49991,80.59264,40.577824,9.224272,6.803019,5.942585,5.54733,7.7391787,7.563868,8.616228,7.9231057,6.7588167,14.53014,37.39412,79.1407,118.79824
50.17,73.7225,7,1,5,0,100,31.90226,20.2696,9.712865,4.5276895,-1.2536836,-0.8931217,9.111121,37.944504,61.213192,73.16329,77.08677,72.43492,75.101105,61.05397,56.667904,55.493053,57.5564,57.261566,52.520435,47.89388,58.91824,63.936363,63.04126,50.600307,119.65778,136.7821,145.7358,161.39763,171.54076,179.12663,150.10844,118.067345,68.98219,38.174976,17.245758,6.4387217,3.4593601,6.5591197,6.9470572,9.68949,8.021851,9.663497,14.679926,18.492632,40.12508,58.87908,111.1307,150.69925
4.26,91.68,8,1,5,0,100,-0.43589255,-8.475692,-11.49145,-13.507533,-1.7078296,10.893014,30.674202,63.002617,80.26949,73.91073,69.03205,64.44686,64.31803,54.39027,49.931763,53.579693,55.088326,53.866875,47.227695,48.300632,45.063026,40.73484,10.132788,0.50912863,145.02965,138.74083,149.74425,167.4184,174.83879,170.11111,119.1089,82.01071,42.098385,25.620628,15.635457,6.3408794,4.808084,4.9001546,7.4772406,10.484955,8.26689,13.222907,23.654472,50.106503,81.338486,122.55846,167.60948,201.9411
2.94,119.16575,9,1,5,0,100,-3.385888,-7.510164,-8.544219,-0.9639434,15.226611,40.51313,58.517826,74.97766,69.82294,65.25623,60.90214,55.290916,51.781803,48.003902,46.11697,49.170547,51.467438,48.943283,51.16707,63.9685,44.090897,33.670246,14.696382,4.80361,137.45724,152.09769,133.8222,135.30565,138.70358,102.53945,44.039387,33.448597,19.453152,21.342659,14.870589,7.5714765,9.006302,7.008046,6.7136374,10.055204,8.552638,12.860445,19.730404,48.63503,84.73232,115.37064,135.59224,163.95607
0.02,130.3635,10,1,5,0,100,-5.851819,-9.44202,-4.35472,14.124295,38.892193,70.117424,82.4976,75.04508,71.98456,65.35276,57.005356,52.15128,49.72096,47.497887,46.1015,49.128853,50.80255,59.35649,70.98471,60.667572,35.298164,32.6571,9.385123,-9.014638,119.811356,131.94745,130.28949,122.120255,104.1005,51.8371,28.98802,14.015513,13.376287,13.422633,7.207889,13.225587,10.875941,7.105448,5.2288585,10.055204,9.267438,15.038177,33.193764,71.87064,113.16176,153.49718,172.69435,196.60023
