actual_price,predicted_price,actual_P,predicted_P
109.96,109.306335,0.0,11.738437
111.81,111.21536,227.58125,135.4878
123.78,117.67933,946.7125,624.9289
153.12,135.79524,2511.68125,1894.1361
108.26,154.67776,4982.69975,4357.649
95.41,110.16979,7619.1285,6997.5938
51.91,87.06754,10024.557,9493.683
4.4,40.483715,11345.99325,10638.588
2.82,6.2194867,10941.61675,10988.967
0.12,9.274087,9843.84,11045.182
0.96,7.272856,10092.3145,9729.445
2.6,10.901671,9146.94225,9423.639
69.84,21.958624,8676.947,8269.991
82.14,78.91963,7370.73825,7580.266
100.21,96.57951,5466.69525,5836.8
124.78,124.11449,3183.48575,3548.2544
158.76,153.28188,1473.518,1822.8105
277.68,200.76375,463.02,481.70935
183.27,219.0262,0.0,-2.9761133
136.37,156.55392,0.0,-9.593204
114.82,122.44021,0.0,-1.390212
102.83,109.1074,0.0,-1.390212
98.37,101.107994,0.0,-1.390212
94.27,99.63818,0.0,18.767467
95.01,97.79008,0.0,18.767467
101.63,99.571976,246.3095,172.2927
103.24,108.37613,1009.56925,936.09546
94.73,118.27575,2507.89675,2282.8152
103.04,96.78745,4707.6990000000005,4839.714
116.19,92.3392,6810.72775,7218.1777
91.19,92.73294,8209.3025,8765.973
78.12,73.05189,9105.379,9357.644
82.36,65.90049,8321.584,9871.619
96.69,72.91521,7858.1595,8675.101
105.1,86.89792,7132.12225,7802.3174
102.96,95.15896,6522.46275,6876.4897
117.35,100.47857,5406.0015,6014.831
141.27,116.65062,4128.9395,4723.664
124.21,140.98831,2877.88725,3143.935
153.09,142.25307,1982.042,2090.8386
158.83,176.67686,1151.51025,1202.3135
204.71,195.62703,420.3725,375.81073
139.86,188.04962,0.0,-15.285265
122.83,127.06196,0.0,-16.806143
105.48,113.44462,0.0,-16.806143
120.88,101.91159,0.0,-16.806143
109.92,109.35481,0.0,-16.806143
103.21,106.68883,0.0,11.752624
103.18,101.86766,0.0,7.639349
96.72,105.328926,222.83525,128.45503
97.24,99.37955,774.8855,874.7447
122.91,107.729904,1670.45125,1583.0067
129.51,121.53045,3037.36625,2944.0762
112.74,120.69656,4510.61025,4650.7285
88.94,101.40176,5986.530000000001,6063.674
18.95,78.34927,6105.43625,7104.2866
6.15,20.175308,6581.55525,6486.5977
0.57,13.962508,6485.3679999999995,6582.361
3.65,9.939875,6364.56725,6298.8105
1.72,17.63227,6365.973,5941.9272
7.46,27.512602,6136.231,5594.4087
10.52,37.272354,5200.5247500000005,4842.423
80.06,42.83409,4803.93075,3556.4507
137.91,104.84597,3059.2045,2735.3845
129.55,155.00238,1489.57275,1461.4929
206.21,152.73972,584.23375,512.8353
170.83,170.90424,0.0,2.774388
125.94,144.01926,0.0,-1.3760214
112.84,115.77593,0.0,0.37333894
111.32,108.64706,0.0,2.5861213
107.42,105.504135,0.0,8.320852
105.35,104.0889,0.0,18.767467
106.17,104.23543,0.0,25.76107
105.45,105.851074,316.27275,179.41907
103.14,110.014786,1086.73925,754.7732
106.13,117.4061,2631.0625,2039.1106
120.24,116.059616,4629.928,4588.7754
122.92,113.73835,6039.7715,6655.5254
117.34,104.792206,7258.48325,7675.152
102.33,94.87125,7978.66425,8249.001
100.3,88.3254,7963.59925,8392.022
101.64,89.64917,7705.14325,7932.94
101.99,92.96618,7651.90725,7312.6567
103.92,95.33641,7109.0115000000005,7088.469
104.2,101.498795,6363.68925,6265.133
104.1,104.834015,5242.58375,5303.6533
128.05,113.695786,4155.12625,3704.1377
127.77,145.65628,2621.30475,2618.0945
146.96,149.79063,1335.5635,1516.7031
181.32,178.64864,473.538,519.20306
146.8,166.98761,0.0,-14.43935
130.19,131.94594,0.0,-16.820333
108.2,117.28573,0.0,-16.806143
127.29,104.97326,0.0,-16.820333
121.74,117.68866,0.0,-16.806143
129.31,117.45948,0.0,20.10109
125.64,124.382675,0.0,25.05074
130.96,124.44107,229.6175,248.94893
122.56,128.88704,889.90125,956.6547
120.29,124.68022,2202.63575,1934.7415
114.74,115.171684,3964.236,4282.8223
105.9,105.85962,5447.32725,6496.6133
3.45,91.63557,7282.546,7250.404
-0.02,0.8891684,7781.99575,8316.1875
-1.0,2.5784614,7406.45875,8308.476
-3.07,-0.7494989,7383.53925,7505.742
-13.17,0.49651736,8379.374749999999,7289.4634
