actual_price,predicted_price,actual_P,predicted_P
20.0,17.820902,632.0,527.2059
21.03,17.87132,632.0,663.1423
26.01,23.09724,583.0,650.74664
33.44,30.53736,501.0,448.59558
36.26,37.669468,1377.0,1112.1146
33.0,32.941486,7836.0,4809.198
18.0,16.16335,15828.0,12322.117
0.03,5.202879,19119.0,19007.598
-0.01,-5.160744,19798.0,20250.744
-0.01,-1.0089676,20524.0,20125.521
-0.01,-0.44139016,20100.0,20285.805
-0.01,-0.44139016,19422.0,19728.59
-0.01,-0.48853675,18815.0,19033.111
-0.01,-0.0069524148,18439.0,18146.623
-0.01,4.059037,18828.0,17570.107
0.0,6.8222337,18293.0,17089.285
32.5,10.903247,15272.0,15247.906
49.56,48.30018,8051.0,8585.875
111.16,63.441395,1943.0,2079.475
100.0,102.4444,905.0,658.5022
75.31,85.70559,859.0,615.5463
35.01,65.43317,844.0,619.40967
30.5,31.542953,749.0,603.3511
33.27,22.837866,694.0,687.3742
32.02,28.42409,654.0,700.67474
32.0,26.792444,641.0,654.6222
31.08,29.435987,577.0,603.9247
35.01,33.36205,556.0,543.5153
54.88,44.211533,1415.0,1317.2198
35.01,44.53004,7307.0,7000.0435
17.2,26.29906,15523.0,13300.983
0.85,4.2244444,19136.0,18830.559
-0.01,-6.037003,19035.0,20518.28
-0.01,-1.9874008,19312.0,19579.54
-0.01,-1.4198238,19551.0,19621.547
-0.5,-1.4198238,18473.0,19422.16
-0.6,-1.4669703,17227.0,18475.861
-0.62,-0.68601125,16863.0,17308.246
-0.01,3.3799822,17948.0,16695.705
1.72,7.141071,18763.0,16252.08
23.0,14.916231,15625.0,15385.841
55.18,42.933456,8247.0,9434.39
96.0,75.52879,1789.0,2456.506
100.86,94.106895,694.0,738.0885
54.88,88.76004,649.0,755.5142
49.63,48.410797,618.0,755.5142
39.0,40.679413,618.0,645.7058
43.81,33.939667,617.0,649.61426
39.22,37.204144,608.0,637.4349
38.24,35.42729,604.0,604.6268
40.01,38.07084,530.0,556.6235
37.95,44.629574,466.0,531.56146
45.0,43.441383,1383.0,1349.6641
38.24,36.094868,7449.0,6413.601
