actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
14.86,0.3,1,1,5,0,0,15.482268,18.634398,32.192616,44.966892,47.603928,42.85677,35.543568,31.5056,27.339605,23.080986,23.352577,23.892164,25.768879,40.24055,48.736828,47.699467,48.09287,41.664524,32.7523,24.386705,18.90133,18.468372,19.03245,20.674313,3.5483034,13.147518,61.087303,153.42117,287.6934,466.9192,623.47986,715.7751,765.12836,775.5727,710.6402,572.2742,415.08084,255.13812,137.92665,78.67762,35.99844,17.26507,3.9347742,2.5909786,-1.7978406,-0.5250147,-1.6778883,1.419939
11.51,3.6,2,1,5,0,13,17.788042,31.594189,45.0303,50.2729,45.538784,36.94987,31.286097,26.04005,24.827612,22.594881,23.843225,28.271164,38.898205,45.24305,46.53637,44.758335,35.090244,28.354313,22.679356,17.47714,16.650625,17.152798,18.222631,19.99486,20.123878,70.004745,157.17188,279.6369,395.90097,529.4755,586.77966,662.32916,671.42096,622.39075,522.26886,363.81577,195.13483,93.75992,49.079296,31.844294,19.492256,20.219269,0.56399226,-0.20985065,-0.10833332,-1.0298963,-2.1704874,2.4967718
13.04,31.82,3,1,5,0,27,25.77138,37.679058,45.63525,41.916634,31.116957,26.003614,18.942724,14.95365,17.221228,21.40663,23.701145,31.576029,39.34103,44.11256,41.595573,31.410685,23.569384,19.778677,18.771706,16.192186,14.893181,17.47246,18.653147,21.199049,65.14152,156.06204,245.83618,392.5411,456.197,533.9073,567.5123,575.47296,500.17245,458.10706,333.6032,212.09154,107.26903,33.254726,18.516422,10.259631,9.564441,12.43536,2.7376497,-0.39948818,5.266408,3.1657448,7.618567,26.491222
25.36,114.27,4,1,5,0,7,35.337196,47.449722,40.728428,31.460629,24.962557,19.53576,16.351334,15.7055,18.185333,25.5919,37.306923,39.46877,48.77636,43.82406,31.856792,29.079662,21.89931,20.437632,18.443954,15.811462,16.234236,18.321875,24.292198,30.946913,170.87035,256.47937,408.9053,529.6306,603.7344,604.8317,544.3493,489.477,438.8274,324.1903,204.48943,83.47649,34.152054,16.581213,3.7708516,8.339726,16.879614,6.2806516,0.4312959,0.19767869,0.25393593,15.377469,42.10359,92.57645
31.12,253.12,5,1,5,0,1,36.588974,32.5229,27.497526,24.30635,17.718454,15.974338,11.518208,18.514341,26.049349,31.771093,37.889503,42.678387,39.3958,36.521835,29.89788,22.22382,20.843906,18.137732,16.361662,21.503712,24.063046,26.779339,33.35599,39.712856,372.5808,532.9396,653.44464,712.1538,764.0323,717.06714,637.4088,532.5632,384.79697,212.89755,81.13558,15.812717,-0.017588302,10.433777,13.730265,6.4995027,12.624159,15.570264,12.9143715,11.773673,17.80652,37.06708,126.461914,249.22017
27.35,409.53,6,1,5,0,20,24.049255,19.914276,18.220253,14.930233,12.49995,11.639648,12.756386,18.18413,27.965399,32.227615,32.848003,31.34465,23.57367,17.69715,13.849962,13.970401,17.118214,18.261063,21.340992,24.182146,29.380375,30.300451,36.036762,28.366554,607.2636,735.4037,784.37463,747.36444,741.3157,703.5786,543.52875,438.34753,229.54816,98.748116,25.421886,3.880378,-3.207459,7.0704646,11.363769,13.406342,22.370174,30.077784,30.639242,34.208836,86.21855,162.10909,285.33984,419.7149
19.94,546.74,7,1,5,0,50,15.595396,12.172314,9.169783,7.8782625,4.8982377,5.7333994,8.561421,19.339647,28.193071,24.939936,19.13875,18.858055,13.283793,10.880156,9.32772,11.024997,12.315347,13.183409,15.39767,15.187834,20.840183,26.5655,24.881937,19.324303,736.20953,825.6122,845.89276,801.4084,721.2759,628.235,448.0114,280.04276,129.10559,34.947563,6.899052,1.7755401,0.960833,1.2537608,9.754445,21.397676,22.072979,33.379696,69.679405,99.64934,160.0036,282.55423,421.02502,566.7162
2.29,635.26,8,1,5,0,71,-0.6293217,-3.554205,-7.0776863,-8.82059,-6.600844,-2.1771288,11.608166,26.16962,21.305677,19.452532,12.600415,6.481121,1.6290157,4.2086754,4.2749977,6.0697327,7.836259,8.062319,9.804441,18.106333,24.682823,26.347744,19.115273,11.730222,795.42053,811.11115,789.83563,732.36145,606.8529,477.9369,298.8082,154.95587,39.83846,16.994373,4.792297,1.048967,0.77503556,3.9728875,9.041656,14.907743,16.661234,28.625986,85.15045,116.166954,222.29576,389.48926,518.07196,661.6188
1.57,644.48,9,1,5,0,70,-2.0439804,-5.0219035,-6.1439247,-3.6927285,-0.19599509,10.254141,23.0182,20.481369,16.630487,13.956974,8.4181795,3.9986956,1.2538881,3.8983185,3.5838025,3.6983948,2.7617397,8.816117,13.632573,21.543837,21.22478,17.868717,9.905444,8.5143385,798.74835,797.3633,757.5484,650.55035,510.64957,323.0763,166.08408,51.66218,20.595547,13.907141,5.4954658,2.5613053,2.6587474,8.43468,8.515133,13.283788,22.301779,36.18009,98.70464,207.48415,341.0518,502.3281,632.9077,817.9616
-0.03,620.9,10,1,5,0,64,-3.2731786,-5.7048306,-3.3723466,0.5343271,12.364002,22.66053,26.183907,22.150927,18.269592,14.043303,6.595915,1.7232027,0.90054154,2.6438217,3.010054,5.3357677,7.5973835,18.127024,20.813929,24.412369,21.204824,16.940792,5.6201906,2.1085205,708.0652,691.40533,620.6754,513.36334,349.20346,199.63863,78.493034,23.271246,19.221882,7.220519,-0.082316026,-0.28514063,1.4493068,7.792587,4.5650163,14.865488,19.841036,55.97014,145.71146,305.10257,433.874,562.4273,680.52814,797.5474
-0.01,568.13,11,1,5,0,76,-3.0711725,-1.9610206,1.940943,12.054585,24.414846,27.106607,24.24016,17.803562,17.351728,10.492423,4.074501,1.8540146,0.78382874,1.6127616,3.8155265,8.893309,16.395071,21.020445,26.911882,21.055714,13.176529,8.853369,0.27139664,-0.21571176,614.7404,544.42596,459.67508,342.54376,183.51262,84.37268,16.15324,11.318424,13.344437,6.8290677,0.45321906,0.280303,1.3579679,6.589963,6.0701957,17.094925,49.212864,127.18162,270.64517,436.49094,553.8593,645.00995,685.7915,751.77637
-0.09,492.54,12,1,5,0,87,0.13744605,4.5844593,13.744441,20.374556,24.602428,26.051023,21.169664,13.603042,12.745816,5.3441534,1.742031,0.5086302,-0.89268863,2.3734612,10.753116,23.353083,28.263369,29.604767,24.631868,18.44937,12.21895,7.140844,-0.2009705,-0.78525484,509.71002,390.87378,293.39154,179.53293,91.91663,36.814148,24.355131,20.323605,18.398413,5.374573,-0.4855288,1.446298,1.3579679,6.995403,10.3102865,48.564266,119.212166,231.9716,417.18616,563.661,651.7605,732.1813,714.5781,713.9103
1.21,395.9,13,1,5,0,96,4.3920507,14.49872,22.0288,22.963612,22.377317,16.522041,11.109315,6.170508,4.9874635,3.4285736,0.31080964,0.2944076,-0.068257764,7.349546,21.17535,28.2945,27.767584,26.562958,20.306595,13.324232,9.723768,3.6513176,0.38908568,2.2643464,379.96695,263.58127,180.76457,96.62872,47.278164,20.699596,18.447231,14.486835,29.77581,18.569344,9.686349,2.1488802,9.544311,15.991313,48.974422,121.6538,246.74898,346.09933,528.62665,613.6373,653.806,666.28253,620.82245,613.0305
20.49,280.78,14,1,5,0,100,26.439354,34.70309,39.393448,39.121483,27.84219,21.934887,16.33685,8.68929,5.578991,5.3145385,4.6188707,8.537037,11.092154,26.795908,36.018055,43.378902,38.123238,36.521137,26.955757,21.448425,14.208604,10.996695,12.433357,18.96736,231.26778,135.42873,81.70052,52.042442,24.001846,17.160925,11.486027,9.308391,22.468258,9.21034,-3.9064581,-3.928997,5.6869783,38.466057,119.29174,226.9103,324.00186,429.6635,555.16425,598.069,647.64215,652.4988,579.8906,505.4876
24.78,181.79,15,1,5,0,100,32.14439,40.26892,33.62977,29.768347,23.421394,17.06779,13.569478,8.874198,5.895591,7.1978436,7.5738688,12.682381,19.837833,28.17581,36.082108,42.61073,36.586517,34.76438,27.44886,21.70819,20.202642,20.49072,24.26314,24.268587,152.99617,60.963863,43.097828,26.562347,25.838793,19.66753,25.123508,19.730486,24.303894,11.014604,1.0030524,3.4973013,32.18674,94.36772,197.34822,309.5009,423.4576,516.1543,576.97894,575.5482,586.5141,573.2447,496.75882,421.49362
39.98,107.23,16,1,5,0,99,46.44316,43.79779,33.182438,29.987999,21.934105,16.943958,10.176319,6.7848916,9.242673,10.584129,16.47655,24.955475,37.90349,40.843105,46.06661,39.553284,32.892788,24.583958,19.298779,19.713062,20.744402,25.95187,33.96658,39.110302,107.816154,56.795887,43.89438,31.936996,17.38449,26.84199,29.723866,28.08718,33.66321,23.388184,21.915897,22.490168,89.35209,157.57394,277.4255,384.20258,439.00363,527.2541,514.5148,482.0554,470.9509,371.0964,273.42572,248.39804
50.83,52.71,17,1,5,0,100,48.83709,45.323822,37.77415,31.307777,25.151474,20.605944,17.623629,12.643892,16.603405,19.566612,29.907885,42.16939,48.371746,49.364807,44.533062,38.207638,31.577099,25.423515,23.210133,26.5349,29.564322,32.154884,45.12792,48.579285,18.136786,2.2964456,2.8521466,14.779349,12.518592,16.05832,20.30386,12.715331,25.681591,23.038076,35.261204,31.996996,132.8267,264.1206,371.88663,461.59985,479.19864,517.2373,492.1762,427.68234,313.5135,229.3833,173.28252,121.091576
